phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-1.0,41.42,0.37,0.17,12740.0,7360.0,3150.0,1700.0,790.0,650.0
0.0,47.53,1.93,1.59,1320570.0,4515350.0,934440.0,180.0,160.0,90.0
1.0,42.34,0.02,0.02,14710.0,310.0,290.0,3700.0,80.0,80.0
2.0,42.32,0.02,0.02,13240.0,320.0,300.0,4450.0,120.0,120.0
3.0,42.19,0.01,0.01,11570.0,170.0,160.0,4990.0,100.0,100.0
5.0,41.9,0.01,0.01,8320.0,330.0,290.0,6940.0,440.0,440.0
6.0,41.84,0.01,0.01,7410.0,320.0,280.0,8150.0,650.0,620.0
7.0,41.77,0.01,0.01,6750.0,270.0,250.0,9060.0,710.0,670.0
8.0,41.77,0.07,0.05,6730.0,1550.0,1180.0,9020.0,3940.0,2580.0
9.0,41.75,0.04,0.03,7440.0,680.0,560.0,7320.0,990.0,920.0
10.0,41.69,0.02,0.02,6950.0,350.0,330.0,7820.0,700.0,630.0
11.0,41.73,0.03,0.03,7860.0,650.0,560.0,6350.0,850.0,750.0
12.0,41.64,0.03,0.02,6960.0,550.0,460.0,7310.0,910.0,850.0
13.0,41.62,0.05,0.04,7230.0,840.0,700.0,6650.0,1180.0,1000.0
14.0,41.58,0.02,0.02,6630.0,420.0,370.0,7510.0,800.0,730.0
15.0,41.5,0.01,0.01,6470.0,300.0,260.0,7260.0,600.0,580.0
16.0,41.46,0.01,0.01,6420.0,300.0,270.0,7000.0,590.0,570.0
17.0,41.42,0.02,0.02,6000.0,520.0,450.0,7630.0,1250.0,1090.0
18.0,41.37,0.01,0.01,6420.0,290.0,270.0,6290.0,590.0,540.0
20.0,42.47,2.93,1.18,27060.0,258540.0,20450.0,1280.0,3840.0,950.0
24.0,41.13,0.03,0.03,4770.0,490.0,420.0,8660.0,2140.0,1670.0
26.0,40.99,0.02,0.02,5470.0,380.0,330.0,5620.0,790.0,710.0
27.0,41.16,0.09,0.08,4590.0,620.0,510.0,9670.0,3850.0,2720.0
29.0,40.83,0.04,0.04,5720.0,720.0,600.0,4280.0,1140.0,930.0
30.0,40.87,0.03,0.03,5000.0,630.0,540.0,5800.0,1670.0,1240.0
31.0,40.9,0.04,0.04,6750.0,1330.0,1020.0,3290.0,1300.0,900.0
35.0,41.02,0.03,0.03,5480.0,530.0,440.0,5810.0,1280.0,1070.0
36.0,40.96,0.08,0.07,5220.0,920.0,680.0,5950.0,2670.0,1930.0
54.0,41.12,2.04,0.35,14320.0,79390.0,6500.0,950.0,1180.0,710.0
59.0,40.78,0.18,0.1,6930.0,4680.0,2130.0,2550.0,3070.0,1400.0
60.0,45.39,3.03,4.34,547020.0,5137520.0,532900.0,90.0,820.0,60.0
