phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-1.0,42.77,0.95,0.39,17300.0,26060.0,6980.0,4360.0,3540.0,2270.0
1.0,43.05,2.52,0.82,32050.0,222920.0,18700.0,1760.0,2170.0,1260.0
5.0,42.11,0.4,0.1,9910.0,8290.0,2650.0,6110.0,4230.0,3180.0
6.0,42.1,0.03,0.03,6970.0,1100.0,750.0,12300.0,3370.0,3040.0
8.0,42.33,0.05,0.04,7580.0,1520.0,1060.0,13590.0,4570.0,3580.0
10.0,42.42,0.04,0.03,7440.0,1620.0,1030.0,15560.0,5480.0,4640.0
11.0,46.93,2.96,3.78,447210.0,3904610.0,427120.0,790.0,4210.0,540.0
13.0,42.57,0.04,0.03,8180.0,870.0,710.0,15490.0,2680.0,2350.0
15.0,42.99,0.22,0.14,16220.0,4510.0,2660.0,6420.0,1420.0,1380.0
17.0,43.18,0.27,0.18,18960.0,6070.0,3470.0,5840.0,1300.0,1250.0
19.0,42.72,0.06,0.05,8820.0,1010.0,850.0,15840.0,2610.0,2220.0
26.0,42.79,0.02,0.01,5590.0,370.0,360.0,42380.0,6800.0,5430.0
31.0,44.09,1.43,0.82,32210.0,72880.0,17620.0,5760.0,5250.0,2970.0
33.0,42.76,0.03,0.03,5620.0,400.0,340.0,40720.0,6910.0,6070.0
40.0,42.82,0.03,0.03,4460.0,200.0,190.0,69410.0,9220.0,7700.0
42.0,43.02,0.21,0.13,3850.0,680.0,640.0,117630.0,96040.0,44140.0
43.0,42.73,0.07,0.03,4510.0,670.0,620.0,60920.0,27680.0,16120.0
44.0,42.89,0.04,0.04,4060.0,180.0,170.0,91220.0,13250.0,11000.0
47.0,42.97,1.75,0.19,9750.0,45470.0,4680.0,17060.0,34480.0,13050.0
48.0,42.49,0.04,0.04,5740.0,950.0,790.0,28380.0,11810.0,7670.0
52.0,42.53,0.16,0.06,7780.0,3220.0,1770.0,16130.0,9620.0,6370.0
57.0,43.53,0.16,0.89,2140.0,2800.0,120.0,681730.0,235880.0,645120.0
62.0,44.28,2.54,1.25,45160.0,299250.0,31200.0,3650.0,5350.0,2470.0
63.0,42.58,0.03,0.03,4620.0,230.0,230.0,49100.0,6530.0,5430.0
69.0,42.95,0.13,0.11,3190.0,250.0,240.0,157290.0,57450.0,37770.0
85.0,42.53,0.17,0.11,4000.0,630.0,600.0,61690.0,42540.0,20920.0
98.0,42.7,0.19,0.14,3360.0,430.0,410.0,107190.0,66520.0,35500.0
102.0,44.3,3.17,1.48,57210.0,635810.0,42490.0,2310.0,4070.0,1700.0
116.0,42.74,0.26,0.18,3050.0,420.0,410.0,135220.0,107850.0,50190.0
123.0,42.45,0.19,0.12,3790.0,600.0,560.0,62910.0,44990.0,22100.0
135.0,42.31,0.13,0.06,5110.0,1300.0,1140.0,28760.0,27100.0,11130.0
144.0,42.09,0.12,0.09,4790.0,1050.0,830.0,25700.0,16990.0,9720.0
157.0,44.59,4.04,2.17,81360.0,1810240.0,69760.0,1630.0,4990.0,1310.0
158.0,42.1,0.04,0.04,6560.0,880.0,710.0,13970.0,3250.0,2690.0
