phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
3.0,41.55,0.11,0.07,7050.0,3210.0,1690.0,6200.0,4750.0,2830.0
4.0,41.67,0.5,0.1,7200.0,10260.0,1970.0,6750.0,5650.0,4620.0
6.0,41.76,0.05,0.04,5910.0,1170.0,910.0,11470.0,5380.0,3440.0
7.0,41.76,0.01,0.01,6160.0,250.0,240.0,10700.0,940.0,840.0
8.0,41.9,0.54,0.11,5170.0,10210.0,1860.0,15560.0,29250.0,11790.0
10.0,41.93,0.02,0.02,5880.0,400.0,380.0,14320.0,2250.0,1850.0
11.0,41.92,0.03,0.02,5380.0,440.0,390.0,16920.0,3270.0,2680.0
12.0,41.93,0.03,0.03,5950.0,640.0,540.0,13900.0,3300.0,2640.0
20.0,41.9,0.28,0.16,3630.0,710.0,680.0,36440.0,39390.0,15070.0
21.0,41.72,0.01,0.01,4200.0,70.0,70.0,22190.0,1030.0,920.0
22.0,41.76,0.08,0.07,3930.0,390.0,360.0,26480.0,8630.0,6180.0
25.0,42.0,0.4,0.22,3170.0,610.0,630.0,53510.0,77780.0,24060.0
