phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,42.25,0.12,0.08,4100.0,570.0,540.0,42370.0,22600.0,12460.0
5.0,42.29,0.04,0.04,3930.0,170.0,160.0,48330.0,6880.0,5640.0
6.0,42.14,0.07,0.03,4830.0,1480.0,630.0,26550.0,11020.0,11310.0
10.0,42.33,0.07,0.06,3470.0,210.0,210.0,65700.0,14800.0,10910.0
13.0,42.32,0.09,0.08,3580.0,240.0,230.0,60650.0,16370.0,12010.0
18.0,42.0,0.05,0.03,5130.0,710.0,580.0,20520.0,7030.0,5200.0
20.0,42.32,0.06,0.05,3660.0,190.0,190.0,58280.0,11050.0,8430.0
26.0,42.56,0.02,0.02,5900.0,240.0,210.0,29470.0,2690.0,2590.0
28.0,42.64,0.02,0.01,5380.0,420.0,370.0,38650.0,5840.0,5030.0
29.0,42.65,0.02,0.01,6130.0,310.0,290.0,30320.0,2570.0,2450.0
30.0,42.67,0.01,0.01,6250.0,120.0,120.0,29750.0,950.0,940.0
32.0,42.67,0.0,0.0,6580.0,120.0,120.0,26870.0,1030.0,970.0
34.0,42.67,0.01,0.01,6520.0,90.0,80.0,27340.0,650.0,620.0
35.0,42.65,0.0,0.0,6500.0,60.0,60.0,26770.0,450.0,440.0
36.0,42.64,0.0,0.0,6340.0,60.0,50.0,28120.0,530.0,530.0
37.0,42.63,0.0,0.0,6450.0,80.0,80.0,26820.0,710.0,680.0
38.0,42.61,0.0,0.0,6100.0,50.0,50.0,29040.0,540.0,540.0
40.0,42.52,0.01,0.01,5910.0,60.0,60.0,27980.0,620.0,600.0
42.0,42.48,0.0,0.0,5610.0,30.0,30.0,29940.0,350.0,360.0
44.0,42.46,0.01,0.01,4880.0,120.0,110.0,38410.0,2480.0,2260.0
45.0,42.35,0.0,0.0,5180.0,40.0,40.0,29960.0,520.0,500.0
46.0,42.37,0.02,0.02,4710.0,100.0,100.0,37340.0,2320.0,2200.0
47.0,42.32,0.03,0.03,4580.0,160.0,160.0,37150.0,3860.0,3420.0
49.0,42.2,0.0,0.0,5030.0,40.0,40.0,26960.0,480.0,450.0
52.0,42.11,0.01,0.01,4580.0,80.0,80.0,29110.0,1240.0,1170.0
54.0,42.57,1.38,0.46,13590.0,34270.0,6420.0,5610.0,6270.0,3390.0
55.0,42.09,0.07,0.05,4390.0,400.0,380.0,30940.0,8920.0,6200.0
56.0,42.08,0.6,0.14,6010.0,12870.0,2280.0,13630.0,28910.0,10420.0
63.0,41.84,0.01,0.01,4580.0,90.0,90.0,21330.0,970.0,920.0
70.0,41.74,0.01,0.01,4360.0,80.0,80.0,21040.0,1030.0,950.0
71.0,41.79,0.12,0.08,4430.0,720.0,600.0,21490.0,11330.0,6920.0
72.0,41.7,0.09,0.06,4610.0,670.0,590.0,17920.0,8130.0,5040.0
76.0,41.49,0.31,0.14,6040.0,6650.0,1930.0,7250.0,12310.0,5240.0
77.0,41.58,0.04,0.03,4150.0,270.0,250.0,19170.0,3380.0,2770.0
95.0,41.04,0.15,0.1,4010.0,1310.0,740.0,10890.0,8780.0,5370.0
