phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-760.0,41.65,0.25,0.16,4470.0,1700.0,1020.0,17740.0,22020.0,10000.0
-742.0,41.74,0.16,0.08,7090.0,5250.0,1370.0,7620.0,4310.0,4550.0
-739.0,42.81,4.3,1.23,40960.0,1232020.0,29880.0,800.0,1930.0,680.0
-718.0,41.51,0.26,0.09,7870.0,6010.0,2220.0,4660.0,4220.0,2540.0
-714.0,41.48,3.1,0.19,10560.0,188680.0,4880.0,2460.0,5080.0,2200.0
-710.0,41.42,0.09,0.07,5710.0,1740.0,1100.0,8240.0,5800.0,3520.0
-709.0,41.6,0.05,0.05,6150.0,1330.0,930.0,8790.0,3960.0,2860.0
-641.0,41.74,0.56,0.12,9170.0,10670.0,3190.0,4610.0,5050.0,2710.0
-630.0,41.82,0.13,0.12,4290.0,650.0,470.0,23770.0,10650.0,8040.0
-627.0,41.51,0.13,0.08,5770.0,2750.0,1380.0,8660.0,8160.0,4550.0
-626.0,41.65,0.14,0.08,4660.0,990.0,840.0,16360.0,12350.0,6120.0
-623.0,41.48,0.11,0.07,6220.0,2420.0,1570.0,7230.0,6700.0,3140.0
-616.0,43.32,4.96,1.74,60370.0,2914100.0,50920.0,670.0,2970.0,590.0
-614.0,42.1,2.18,0.52,19610.0,111960.0,9860.0,1580.0,1900.0,1140.0
-613.0,44.02,3.65,2.18,106410.0,1738670.0,92410.0,490.0,1790.0,380.0
-612.0,41.66,1.27,0.13,8830.0,33750.0,3270.0,4330.0,6120.0,3460.0
-6.0,41.58,0.08,0.07,7050.0,2690.0,1210.0,6460.0,3110.0,2830.0
-5.0,41.73,0.59,0.22,6000.0,13280.0,2790.0,8180.0,33690.0,6300.0
-4.0,41.99,0.1,0.09,3780.0,320.0,300.0,37210.0,12100.0,8550.0
-2.0,42.34,0.44,0.18,12170.0,8110.0,3130.0,5380.0,2520.0,2160.0
0.0,41.96,0.02,0.02,5760.0,310.0,280.0,15410.0,1850.0,1650.0
1.0,42.05,0.04,0.04,4510.0,280.0,250.0,28070.0,4910.0,4130.0
3.0,42.17,0.03,0.03,4750.0,190.0,170.0,29100.0,3110.0,2850.0
4.0,42.21,0.02,0.02,5030.0,140.0,140.0,27040.0,2020.0,1840.0
5.0,42.26,0.02,0.01,5250.0,160.0,160.0,26420.0,2170.0,1920.0
6.0,42.28,0.01,0.01,5680.0,190.0,170.0,23140.0,1770.0,1650.0
