phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-1.0,43.2,0.03,0.02,16150.0,490.0,440.0,8230.0,240.0,250.0
0.0,42.85,0.01,0.01,12260.0,200.0,190.0,9500.0,200.0,190.0
1.0,42.74,0.02,0.02,10940.0,260.0,250.0,10530.0,320.0,310.0
2.0,42.73,0.0,0.0,9400.0,70.0,70.0,14090.0,140.0,140.0
3.0,42.8,0.01,0.01,9440.0,90.0,90.0,15190.0,210.0,200.0
4.0,42.85,0.01,0.01,8980.0,120.0,120.0,17700.0,320.0,320.0
5.0,42.82,0.01,0.01,8230.0,160.0,180.0,20440.0,1010.0,860.0
6.0,43.31,0.06,0.05,14550.0,900.0,760.0,11470.0,600.0,620.0
7.0,42.96,0.01,0.01,9450.0,90.0,90.0,18270.0,260.0,250.0
8.0,42.88,0.0,0.0,7450.0,30.0,30.0,26690.0,210.0,210.0
9.0,42.94,0.0,0.0,7590.0,30.0,30.0,27690.0,190.0,200.0
10.0,42.96,0.0,0.0,7970.0,40.0,40.0,25740.0,180.0,170.0
11.0,42.98,0.0,0.0,6970.0,50.0,50.0,34220.0,460.0,450.0
12.0,42.84,0.0,0.0,6890.0,50.0,40.0,30000.0,310.0,310.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,43.0,0.0,0.0,5120.0,20.0,20.0,65040.0,640.0,640.0
16.0,42.97,0.0,0.0,5390.0,20.0,20.0,56680.0,580.0,570.0
17.0,42.96,0.0,0.0,5470.0,50.0,50.0,54430.0,1150.0,1080.0
19.0,42.94,0.0,0.0,5100.0,30.0,30.0,61280.0,850.0,810.0
20.0,42.81,0.0,0.0,6210.0,20.0,20.0,35340.0,260.0,250.0
22.0,42.75,0.0,0.0,5620.0,20.0,20.0,40540.0,370.0,370.0
23.0,42.76,0.0,0.0,5510.0,40.0,40.0,42590.0,600.0,590.0
24.0,43.23,0.02,0.02,13130.0,370.0,330.0,12810.0,340.0,340.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,42.67,0.0,0.0,5240.0,30.0,30.0,42540.0,510.0,510.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,42.64,0.0,0.0,5270.0,30.0,30.0,40420.0,510.0,500.0
30.0,42.58,0.0,0.0,5270.0,30.0,30.0,37770.0,510.0,510.0
31.0,42.64,0.0,0.0,6650.0,60.0,60.0,25500.0,420.0,400.0
35.0,42.49,0.01,0.01,5400.0,120.0,120.0,32540.0,1550.0,1490.0
41.0,42.37,0.0,0.0,5400.0,20.0,20.0,28180.0,260.0,270.0
45.0,42.3,0.0,0.0,5480.0,30.0,30.0,25390.0,260.0,260.0
52.0,42.19,0.0,0.0,5530.0,50.0,50.0,22000.0,420.0,410.0
55.0,42.23,0.0,0.0,5420.0,40.0,40.0,23790.0,410.0,410.0
56.0,42.12,0.01,0.02,5780.0,200.0,190.0,18520.0,1430.0,1390.0
