phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-1.0,42.62,0.68,0.31,19700.0,18430.0,5980.0,2830.0,1270.0,1160.0
0.0,47.63,2.35,3.35,1022710.0,5225390.0,949790.0,340.0,1030.0,200.0
1.0,45.48,2.65,2.05,225220.0,1527570.0,182780.0,580.0,960.0,380.0
2.0,42.06,0.02,0.02,6360.0,640.0,540.0,14200.0,2920.0,2450.0
3.0,42.0,0.14,0.07,9310.0,3020.0,1740.0,6200.0,2570.0,2040.0
4.0,41.88,0.05,0.04,5990.0,1090.0,800.0,12900.0,5040.0,3790.0
5.0,41.95,0.2,0.11,4020.0,850.0,750.0,31420.0,28590.0,12480.0
6.0,41.81,0.08,0.06,5950.0,1820.0,1230.0,11870.0,8450.0,4820.0
7.0,41.78,0.14,0.08,6030.0,2890.0,1390.0,10830.0,9480.0,5640.0
8.0,41.75,0.21,0.12,5010.0,2220.0,1300.0,15380.0,20600.0,8540.0
9.0,44.45,3.98,2.07,89430.0,1896960.0,75150.0,1130.0,2990.0,900.0
12.0,42.14,0.08,0.06,4660.0,540.0,490.0,29000.0,10570.0,7210.0
15.0,44.36,3.22,1.75,87370.0,999680.0,69470.0,1060.0,2330.0,790.0
16.0,42.17,0.04,0.03,7090.0,990.0,750.0,12930.0,3000.0,2650.0
17.0,44.2,3.23,1.29,71560.0,836060.0,48790.0,1320.0,1640.0,980.0
19.0,42.64,0.34,0.19,13930.0,6510.0,3150.0,5750.0,2000.0,1780.0
21.0,42.77,0.31,0.17,14490.0,6070.0,3000.0,6240.0,1940.0,1810.0
22.0,42.49,0.07,0.05,8690.0,1230.0,930.0,12520.0,2370.0,2170.0
24.0,42.63,0.05,0.04,9300.0,1050.0,860.0,12880.0,2120.0,1870.0
25.0,42.64,0.06,0.05,9930.0,1040.0,880.0,11450.0,1590.0,1390.0
26.0,42.84,0.09,0.07,13360.0,1640.0,1260.0,7970.0,1030.0,990.0
27.0,43.39,1.03,0.59,22050.0,32580.0,10420.0,5500.0,4550.0,2540.0
28.0,42.66,0.03,0.02,9170.0,560.0,500.0,13640.0,1260.0,1180.0
29.0,42.71,0.04,0.03,10180.0,760.0,670.0,11800.0,1200.0,1120.0
30.0,42.71,0.03,0.02,9340.0,550.0,470.0,13970.0,1180.0,1150.0
31.0,43.01,0.12,0.09,15660.0,2310.0,1630.0,7060.0,890.0,920.0
32.0,42.83,0.04,0.04,11350.0,780.0,670.0,10900.0,900.0,880.0
33.0,44.88,2.1,1.38,85140.0,361290.0,59250.0,2040.0,2490.0,1210.0
34.0,42.83,0.05,0.04,11070.0,1000.0,800.0,11370.0,1260.0,1230.0
37.0,44.44,1.61,1.06,57720.0,151400.0,35420.0,2700.0,2650.0,1400.0
38.0,42.8,0.04,0.04,10380.0,800.0,670.0,12530.0,1250.0,1210.0
39.0,42.7,0.02,0.01,8310.0,380.0,340.0,17370.0,1270.0,1240.0
40.0,42.69,0.02,0.01,8290.0,370.0,330.0,17370.0,1220.0,1210.0
41.0,42.77,0.03,0.03,10540.0,550.0,490.0,11810.0,820.0,800.0
42.0,42.7,0.02,0.02,8440.0,420.0,370.0,17000.0,1330.0,1280.0
43.0,42.69,0.02,0.02,6510.0,660.0,560.0,27840.0,5680.0,4710.0
44.0,42.71,0.03,0.03,8170.0,570.0,480.0,18320.0,1830.0,1770.0
46.0,42.79,0.22,0.11,12100.0,4370.0,2340.0,9160.0,3220.0,2790.0
47.0,43.52,2.87,0.91,22720.0,214230.0,14640.0,5970.0,10570.0,4490.0
48.0,42.59,0.02,0.02,6470.0,480.0,450.0,25240.0,3910.0,3260.0
49.0,42.78,0.11,0.08,11640.0,2030.0,1430.0,9800.0,1850.0,1710.0
50.0,42.58,0.03,0.03,7740.0,650.0,530.0,17560.0,2350.0,2280.0
53.0,42.63,0.04,0.03,7820.0,900.0,700.0,18150.0,3130.0,2910.0
54.0,42.66,0.05,0.04,9760.0,990.0,810.0,12020.0,1650.0,1530.0
55.0,42.52,0.03,0.02,7160.0,640.0,550.0,19190.0,2950.0,2600.0
56.0,42.53,0.01,0.01,6970.0,370.0,350.0,20290.0,2090.0,1870.0
57.0,42.57,0.03,0.03,8640.0,640.0,550.0,13930.0,1540.0,1450.0
59.0,42.54,0.04,0.03,8490.0,1010.0,770.0,13860.0,2510.0,2280.0
60.0,42.5,0.01,0.01,7060.0,360.0,310.0,19120.0,1750.0,1710.0
63.0,42.46,0.01,0.01,6020.0,260.0,240.0,25300.0,2320.0,2150.0
64.0,42.46,0.02,0.02,6110.0,490.0,440.0,24250.0,4310.0,3610.0
65.0,42.42,0.02,0.02,7710.0,490.0,440.0,14710.0,1550.0,1440.0
66.0,42.44,0.02,0.02,7270.0,710.0,580.0,16780.0,2890.0,2570.0
67.0,42.42,0.02,0.02,6200.0,640.0,530.0,22580.0,4710.0,3980.0
69.0,42.38,0.02,0.02,7090.0,530.0,460.0,16600.0,2190.0,1960.0
71.0,42.35,0.03,0.03,5920.0,620.0,540.0,22930.0,5610.0,4400.0
73.0,42.35,0.03,0.03,6720.0,830.0,680.0,17780.0,4310.0,3510.0
75.0,42.32,0.02,0.03,6010.0,490.0,430.0,21470.0,3610.0,3120.0
78.0,42.31,0.03,0.03,6430.0,740.0,600.0,18570.0,3700.0,3290.0
87.0,42.16,0.17,0.07,8170.0,3390.0,1970.0,9480.0,6030.0,3690.0
90.0,42.09,0.05,0.04,6400.0,1490.0,1090.0,14270.0,6830.0,4520.0
93.0,42.3,0.11,0.08,4430.0,600.0,530.0,38720.0,17930.0,11290.0
97.0,42.0,0.1,0.07,6680.0,2810.0,1460.0,11480.0,8300.0,5270.0
99.0,42.04,0.04,0.04,5340.0,820.0,690.0,19530.0,7130.0,4960.0
116.0,47.28,2.26,3.6,996640.0,4692370.0,938620.0,240.0,870.0,140.0
357.0,42.58,3.19,0.71,25370.0,329900.0,15560.0,1620.0,3100.0,1300.0
