phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,45.34,2.45,1.65,252860.0,1423540.0,185260.0,390.0,430.0,250.0
1.0,46.58,2.06,1.74,597020.0,2317400.0,443660.0,290.0,310.0,160.0
2.0,41.96,0.11,0.08,10480.0,1780.0,1410.0,4650.0,1010.0,810.0
3.0,41.87,0.07,0.06,9470.0,1130.0,920.0,5180.0,770.0,690.0
5.0,42.06,0.16,0.1,11510.0,2860.0,1820.0,4370.0,1140.0,1010.0
6.0,43.17,1.24,0.84,34240.0,61280.0,18910.0,1770.0,1570.0,820.0
7.0,41.82,0.03,0.03,6970.0,910.0,720.0,8950.0,2100.0,1740.0
9.0,41.94,0.02,0.01,7930.0,350.0,320.0,8030.0,590.0,560.0
11.0,42.0,0.01,0.01,6290.0,340.0,310.0,13620.0,1550.0,1390.0
12.0,42.24,0.44,0.21,10490.0,6630.0,2880.0,6410.0,3140.0,2410.0
13.0,42.03,0.01,0.01,6370.0,310.0,280.0,13620.0,1330.0,1210.0
15.0,42.03,0.01,0.01,7080.0,250.0,240.0,11150.0,690.0,660.0
18.0,42.01,0.07,0.05,5480.0,740.0,610.0,18110.0,6800.0,4850.0
20.0,41.99,0.02,0.02,4970.0,190.0,180.0,21570.0,2060.0,1840.0
22.0,41.9,0.01,0.01,4870.0,150.0,150.0,20140.0,1490.0,1340.0
26.0,41.83,0.05,0.04,4410.0,350.0,340.0,22720.0,5450.0,3880.0
28.0,41.84,0.25,0.14,3990.0,2770.0,930.0,26510.0,34450.0,18160.0
30.0,41.94,1.07,0.24,5350.0,27360.0,2270.0,12830.0,45890.0,11250.0
36.0,41.7,0.37,0.11,5500.0,6750.0,1990.0,10950.0,23320.0,7590.0
38.0,41.55,0.05,0.04,4160.0,370.0,350.0,18550.0,4810.0,3470.0
40.0,41.71,0.2,0.13,3730.0,570.0,560.0,27690.0,20440.0,9640.0
43.0,41.51,0.12,0.08,4560.0,770.0,660.0,14670.0,8190.0,4760.0
45.0,41.49,0.08,0.05,5150.0,1130.0,830.0,11190.0,6300.0,3980.0
48.0,41.51,0.05,0.04,4370.0,590.0,550.0,15890.0,6080.0,3890.0
49.0,41.41,0.17,0.1,4570.0,1230.0,890.0,13000.0,11380.0,5760.0
51.0,41.46,0.07,0.05,4190.0,720.0,540.0,16270.0,6990.0,4900.0
53.0,41.39,0.08,0.06,6840.0,2550.0,1540.0,5460.0,3830.0,2270.0
54.0,41.4,0.07,0.05,4450.0,700.0,620.0,13470.0,6200.0,3810.0
59.0,41.77,0.3,0.22,2660.0,550.0,440.0,58720.0,60860.0,27370.0
66.0,41.55,0.67,0.22,3450.0,3280.0,1200.0,23720.0,83010.0,18060.0
68.0,41.45,0.55,0.27,3550.0,3930.0,1060.0,20180.0,55540.0,16410.0
70.0,41.36,2.0,0.23,8870.0,70270.0,4510.0,2720.0,8900.0,2310.0
