phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,41.63,0.04,0.04,15530.0,750.0,660.0,1450.0,70.0,70.0
1.0,41.79,0.01,0.01,16190.0,170.0,170.0,1620.0,20.0,20.0
2.0,41.41,0.02,0.02,10100.0,230.0,240.0,2690.0,90.0,90.0
3.0,41.35,0.01,0.01,11520.0,230.0,230.0,1920.0,60.0,60.0
4.0,41.15,0.01,0.01,7900.0,160.0,180.0,3240.0,120.0,110.0
5.0,41.14,0.01,0.02,6790.0,230.0,240.0,4350.0,350.0,300.0
9.0,41.38,0.01,0.01,7050.0,240.0,220.0,5300.0,300.0,300.0
10.0,41.39,0.01,0.01,6170.0,120.0,120.0,7050.0,290.0,270.0
11.0,41.42,0.0,0.0,6300.0,100.0,100.0,6990.0,210.0,210.0
12.0,41.45,0.0,0.0,6520.0,90.0,80.0,6730.0,160.0,160.0
13.0,41.46,0.0,0.0,6250.0,70.0,60.0,7390.0,150.0,150.0
14.0,41.47,0.0,0.0,5740.0,50.0,50.0,8880.0,160.0,160.0
15.0,41.43,0.0,0.0,5680.0,50.0,50.0,8710.0,190.0,180.0
16.0,41.48,0.01,0.01,4890.0,40.0,40.0,12390.0,290.0,280.0
17.0,41.47,0.01,0.01,4670.0,60.0,60.0,13480.0,490.0,460.0
18.0,41.4,0.0,0.0,4930.0,50.0,50.0,11120.0,250.0,250.0
20.0,41.47,0.01,0.01,3990.0,50.0,50.0,18420.0,680.0,660.0
24.0,41.29,0.02,0.02,3980.0,70.0,70.0,15100.0,890.0,810.0
26.0,41.15,0.18,0.04,5980.0,3530.0,1580.0,5430.0,4810.0,2710.0
28.0,41.29,0.02,0.02,3620.0,70.0,70.0,18190.0,1210.0,1110.0
29.0,41.05,0.01,0.01,4950.0,170.0,160.0,7400.0,560.0,530.0
30.0,41.06,0.02,0.02,4160.0,120.0,120.0,10530.0,850.0,730.0
31.0,41.01,0.01,0.01,5880.0,510.0,430.0,4930.0,810.0,700.0
32.0,41.14,0.05,0.05,3810.0,200.0,190.0,13770.0,2470.0,1970.0
39.0,40.92,0.25,0.07,4850.0,3350.0,1520.0,6140.0,10270.0,3690.0
40.0,40.94,0.24,0.09,4570.0,4910.0,1110.0,6980.0,7530.0,4950.0
42.0,40.91,0.17,0.07,4520.0,2700.0,1270.0,7020.0,10360.0,4120.0
44.0,40.87,0.3,0.1,4500.0,4020.0,1490.0,6470.0,14180.0,4380.0
47.0,40.81,0.05,0.05,3820.0,210.0,200.0,9360.0,1660.0,1340.0
50.0,40.83,0.46,0.25,4010.0,2580.0,990.0,8720.0,17510.0,6380.0
52.0,40.76,0.25,0.08,4120.0,2000.0,1130.0,7350.0,11760.0,4190.0
56.0,40.77,0.4,0.11,4750.0,5470.0,1530.0,5100.0,9500.0,3610.0
58.0,40.82,0.61,0.18,3540.0,2240.0,1260.0,10470.0,43220.0,7150.0
60.0,40.73,0.45,0.15,3640.0,2620.0,1150.0,8990.0,24490.0,6320.0
67.0,40.94,0.98,0.36,3190.0,3980.0,1360.0,12810.0,131850.0,10760.0
70.0,41.03,1.45,0.5,2810.0,3230.0,1260.0,19020.0,366100.0,16420.0
74.0,40.68,0.68,0.2,3340.0,2190.0,1160.0,10380.0,44130.0,7410.0
88.0,40.66,0.83,0.33,3620.0,4510.0,1620.0,6820.0,62110.0,5490.0
95.0,41.05,1.37,0.51,2560.0,2940.0,990.0,26800.0,330470.0,23750.0
104.0,40.78,1.37,0.45,2740.0,3220.0,1140.0,16070.0,236470.0,14050.0
