phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-2.0,41.78,0.13,0.05,8340.0,3180.0,1700.0,5900.0,3130.0,2260.0
0.0,41.99,0.06,0.04,7570.0,1660.0,1120.0,9160.0,3240.0,2550.0
1.0,42.0,0.03,0.03,6800.0,890.0,680.0,11580.0,2750.0,2360.0
2.0,42.09,0.02,0.02,7030.0,610.0,530.0,12020.0,1970.0,1680.0
3.0,42.12,0.02,0.02,6790.0,420.0,370.0,13380.0,1510.0,1400.0
4.0,42.19,0.02,0.02,6490.0,490.0,420.0,15840.0,2330.0,2120.0
6.0,42.41,0.13,0.1,9980.0,2110.0,1460.0,8630.0,2070.0,1840.0
8.0,42.5,0.07,0.05,9570.0,1260.0,980.0,10500.0,1780.0,1610.0
10.0,42.63,0.05,0.04,9620.0,910.0,760.0,11980.0,1530.0,1410.0
12.0,42.69,0.05,0.04,9730.0,890.0,740.0,12630.0,1460.0,1380.0
14.0,45.17,2.6,1.87,96130.0,632320.0,76690.0,2240.0,4100.0,1460.0
15.0,42.62,0.02,0.02,7830.0,610.0,520.0,17960.0,2360.0,2140.0
16.0,42.61,0.02,0.01,8180.0,310.0,280.0,16170.0,950.0,940.0
17.0,42.56,0.01,0.01,6680.0,400.0,370.0,23010.0,2700.0,2280.0
18.0,42.56,0.01,0.01,7390.0,300.0,280.0,18820.0,1270.0,1180.0
19.0,42.52,0.01,0.01,6850.0,240.0,220.0,20920.0,1380.0,1360.0
20.0,42.53,0.02,0.02,6050.0,480.0,430.0,27040.0,4640.0,3800.0
21.0,42.52,0.01,0.01,5710.0,200.0,190.0,29900.0,2440.0,2210.0
22.0,42.48,0.01,0.01,6260.0,220.0,210.0,23930.0,1640.0,1520.0
24.0,42.45,0.02,0.02,5270.0,240.0,230.0,32620.0,3680.0,3250.0
25.0,42.43,0.01,0.01,5740.0,190.0,190.0,26770.0,1910.0,1720.0
26.0,42.42,0.01,0.01,5290.0,210.0,200.0,31040.0,2900.0,2560.0
27.0,42.45,0.02,0.02,4970.0,150.0,150.0,36400.0,3000.0,2670.0
28.0,42.41,0.02,0.01,5820.0,550.0,490.0,25250.0,5410.0,4260.0
29.0,42.48,0.04,0.02,4970.0,480.0,470.0,37960.0,10660.0,7240.0
31.0,42.46,0.01,0.01,5210.0,160.0,150.0,33730.0,2240.0,2120.0
34.0,43.08,0.82,0.32,13740.0,16180.0,4420.0,9840.0,4930.0,4500.0
37.0,42.54,0.01,0.01,5540.0,230.0,220.0,32700.0,2860.0,2630.0
40.0,42.52,0.01,0.01,5680.0,290.0,260.0,30190.0,3010.0,2750.0
44.0,42.37,0.04,0.04,5020.0,540.0,480.0,32440.0,8710.0,6580.0
48.0,42.4,0.02,0.02,4470.0,160.0,160.0,42720.0,4110.0,3410.0
49.0,42.48,0.05,0.04,4210.0,270.0,270.0,52870.0,11440.0,8290.0
50.0,42.28,0.19,0.1,5220.0,2500.0,940.0,26040.0,20860.0,15360.0
52.0,42.38,0.03,0.03,4530.0,220.0,220.0,40400.0,5630.0,4680.0
