phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,44.87,1.73,1.35,68130.0,199520.0,47130.0,3180.0,3830.0,1670.0
2.0,42.58,0.01,0.01,8010.0,300.0,280.0,16330.0,1040.0,970.0
3.0,42.6,0.02,0.02,6760.0,690.0,530.0,23440.0,4560.0,4180.0
4.0,42.63,0.02,0.02,7060.0,740.0,580.0,22140.0,4270.0,3890.0
5.0,42.74,0.01,0.01,5610.0,220.0,210.0,40190.0,3700.0,3380.0
16.0,43.05,0.01,0.01,6760.0,210.0,200.0,39350.0,2270.0,2180.0
17.0,43.08,0.01,0.01,5810.0,300.0,280.0,55450.0,6520.0,5610.0
18.0,43.06,0.05,0.03,6340.0,1880.0,500.0,44940.0,9760.0,18670.0
19.0,43.05,0.02,0.02,6940.0,410.0,370.0,37230.0,3800.0,3590.0
23.0,42.96,0.01,0.01,6190.0,250.0,240.0,42340.0,3230.0,2960.0
24.0,42.96,0.02,0.02,5550.0,270.0,240.0,53090.0,6280.0,5890.0
26.0,42.95,0.01,0.01,5310.0,130.0,130.0,56660.0,3080.0,2970.0
31.0,42.87,0.01,0.01,4610.0,80.0,80.0,68820.0,3230.0,3080.0
34.0,42.72,0.02,0.02,4770.0,180.0,170.0,54330.0,5020.0,4600.0
36.0,42.85,0.05,0.05,4050.0,210.0,200.0,87000.0,14670.0,12060.0
38.0,42.59,0.06,0.06,4570.0,370.0,310.0,50720.0,11480.0,9780.0
40.0,42.63,0.03,0.03,4490.0,170.0,170.0,55400.0,5990.0,5100.0
43.0,42.56,0.03,0.03,5230.0,380.0,340.0,37550.0,6440.0,5470.0
46.0,42.49,0.04,0.04,5110.0,600.0,530.0,35960.0,10390.0,7490.0
52.0,42.57,0.14,0.1,4110.0,660.0,600.0,61510.0,37050.0,20510.0
56.0,42.41,0.07,0.06,4490.0,500.0,470.0,42770.0,14990.0,10080.0
57.0,42.32,0.05,0.04,5500.0,880.0,750.0,25500.0,10340.0,6820.0
