phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-19.0,42.52,0.18,0.09,5170.0,1890.0,1310.0,35320.0,42490.0,17110.0
-17.0,42.8,0.31,0.18,3680.0,790.0,750.0,99430.0,125150.0,44200.0
-14.0,48.5,2.13,3.97,1147810.0,4772510.0,1096990.0,730.0,3130.0,410.0
-11.0,42.71,0.03,0.03,6140.0,630.0,540.0,31960.0,6620.0,5540.0
-8.0,42.82,0.03,0.03,5590.0,580.0,500.0,43780.0,10490.0,8220.0
-6.0,46.0,3.65,2.6,170370.0,2681620.0,152400.0,1880.0,6490.0,1440.0
0.0,43.13,0.21,0.13,3960.0,740.0,710.0,124770.0,111350.0,47830.0
4.0,43.03,0.05,0.03,7010.0,2140.0,760.0,35190.0,9730.0,13630.0
7.0,43.1,0.01,0.01,6280.0,360.0,330.0,48590.0,5750.0,5100.0
8.0,43.14,0.02,0.02,7600.0,390.0,340.0,34700.0,2750.0,2690.0
12.0,43.3,0.73,0.09,9680.0,12830.0,1440.0,25650.0,6340.0,14630.0
14.0,43.22,0.01,0.01,7450.0,390.0,360.0,39400.0,3640.0,3380.0
16.0,43.25,0.03,0.03,7570.0,570.0,480.0,39560.0,4550.0,4280.0
17.0,43.24,0.02,0.01,7120.0,450.0,390.0,44130.0,4940.0,4600.0
20.0,43.29,0.02,0.01,7940.0,510.0,440.0,37680.0,4040.0,3780.0
24.0,43.31,0.01,0.01,7370.0,340.0,310.0,44530.0,3920.0,3730.0
27.0,43.5,0.21,0.05,5510.0,9090.0,560.0,96980.0,30500.0,79060.0
28.0,43.4,0.27,0.1,9090.0,4710.0,1620.0,32470.0,11180.0,13340.0
31.0,43.37,0.02,0.01,7910.0,320.0,290.0,41690.0,2590.0,2590.0
32.0,43.45,0.03,0.03,9110.0,680.0,590.0,34440.0,3820.0,3520.0
36.0,43.59,1.74,0.24,11880.0,49400.0,3840.0,23720.0,15470.0,17080.0
37.0,43.29,0.01,0.01,7360.0,360.0,330.0,43990.0,3910.0,3550.0
38.0,43.29,0.01,0.01,7790.0,280.0,260.0,39350.0,2450.0,2390.0
39.0,43.28,0.01,0.01,7700.0,290.0,270.0,39690.0,2480.0,2400.0
40.0,43.26,0.01,0.01,6820.0,210.0,200.0,49110.0,2900.0,2760.0
41.0,43.25,0.01,0.01,7020.0,360.0,320.0,46050.0,4360.0,4180.0
42.0,43.23,0.01,0.01,6920.0,190.0,180.0,46390.0,2400.0,2270.0
44.0,43.2,0.01,0.01,6610.0,320.0,300.0,48850.0,4870.0,4290.0
45.0,43.15,0.03,0.03,6430.0,540.0,510.0,49150.0,7400.0,5910.0
46.0,43.15,0.01,0.01,6020.0,310.0,280.0,55900.0,6150.0,5600.0
48.0,43.1,0.01,0.01,5830.0,240.0,230.0,56210.0,4950.0,4460.0
50.0,43.08,0.03,0.02,5170.0,310.0,290.0,69900.0,10770.0,9090.0
52.0,43.1,0.03,0.03,5180.0,340.0,310.0,70720.0,11730.0,9970.0
54.0,43.22,0.15,0.1,4010.0,580.0,550.0,136850.0,81490.0,43460.0
55.0,43.04,0.02,0.02,5710.0,490.0,430.0,54460.0,9900.0,8320.0
62.0,43.02,0.02,0.02,5660.0,330.0,300.0,54280.0,6470.0,5790.0
63.0,47.84,3.12,3.02,498990.0,5014430.0,453480.0,1810.0,4880.0,1270.0
64.0,43.35,1.13,0.24,6640.0,28660.0,3190.0,42670.0,159220.0,35220.0
65.0,43.04,0.02,0.02,6210.0,400.0,360.0,46170.0,5990.0,5250.0
66.0,43.04,0.01,0.01,5860.0,280.0,260.0,52120.0,5450.0,4860.0
67.0,43.09,0.03,0.03,5240.0,370.0,330.0,68360.0,12220.0,10180.0
68.0,43.05,0.03,0.02,5860.0,360.0,310.0,52250.0,7700.0,6830.0
69.0,43.12,0.02,0.02,5220.0,340.0,320.0,71330.0,11320.0,9390.0
74.0,47.07,2.73,2.13,245880.0,1778590.0,200870.0,3060.0,4810.0,2010.0
75.0,44.81,2.17,1.49,46510.0,218360.0,35910.0,6350.0,15480.0,3960.0
76.0,43.14,0.27,0.1,5990.0,5300.0,1660.0,52060.0,50490.0,33120.0
80.0,43.12,0.01,0.01,6390.0,320.0,300.0,47850.0,4890.0,4360.0
81.0,43.14,0.04,0.03,5470.0,600.0,520.0,66340.0,18130.0,13890.0
82.0,43.16,0.08,0.03,7690.0,2540.0,950.0,34360.0,10270.0,13150.0
87.0,43.22,0.18,0.06,7810.0,2760.0,1010.0,36040.0,8720.0,11910.0
88.0,43.23,0.15,0.03,8370.0,3930.0,1140.0,31240.0,10010.0,13900.0
90.0,43.2,0.03,0.03,7900.0,620.0,510.0,34120.0,4200.0,4140.0
95.0,43.18,0.01,0.01,6660.0,180.0,170.0,46980.0,2470.0,2270.0
96.0,43.66,0.18,0.39,3960.0,8290.0,450.0,217020.0,130070.0,200440.0
98.0,43.23,1.41,0.08,8200.0,29360.0,1390.0,32750.0,10770.0,24790.0
100.0,43.19,0.01,0.01,6970.0,360.0,340.0,43370.0,4500.0,3980.0
101.0,43.42,0.09,0.07,10470.0,1380.0,1030.0,25070.0,3560.0,3440.0
102.0,43.2,0.01,0.01,7330.0,410.0,370.0,39820.0,4070.0,3720.0
104.0,43.21,0.01,0.01,7530.0,300.0,280.0,38140.0,2630.0,2460.0
107.0,43.18,0.02,0.02,7620.0,510.0,460.0,35870.0,3950.0,3560.0
108.0,43.13,0.03,0.02,7020.0,760.0,640.0,40140.0,7760.0,6500.0
109.0,43.2,0.02,0.02,6860.0,620.0,560.0,45560.0,8020.0,6370.0
110.0,43.18,0.03,0.02,7170.0,520.0,470.0,40750.0,5020.0,4480.0
114.0,43.26,2.57,0.1,8300.0,110420.0,2490.0,31890.0,30130.0,28820.0
115.0,43.22,0.06,0.03,7600.0,1180.0,940.0,37940.0,9870.0,7650.0
116.0,43.22,0.04,0.03,8120.0,700.0,610.0,33190.0,4380.0,3910.0
118.0,43.2,0.05,0.03,8330.0,1020.0,810.0,30800.0,5750.0,5000.0
120.0,43.17,0.02,0.02,6870.0,410.0,380.0,43860.0,4670.0,4120.0
125.0,43.17,2.92,0.1,7630.0,132110.0,2210.0,34720.0,28390.0,31610.0
128.0,43.17,0.85,0.09,8700.0,14900.0,1560.0,27210.0,9270.0,17290.0
139.0,43.11,1.15,0.09,8730.0,28360.0,2540.0,24120.0,22140.0,19030.0
163.0,43.02,1.22,0.13,7940.0,26040.0,2670.0,27070.0,27060.0,20810.0
177.0,42.84,0.64,0.13,10230.0,12670.0,2910.0,13470.0,9230.0,7870.0
178.0,42.79,0.07,0.05,7840.0,1690.0,1120.0,21430.0,6910.0,5790.0
189.0,42.74,0.06,0.04,7750.0,1190.0,880.0,20970.0,4970.0,4320.0
362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
