phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,41.79,2.63,0.63,19990.0,170720.0,12860.0,1040.0,2820.0,800.0
1.0,41.77,0.18,0.12,14190.0,3410.0,2140.0,2050.0,430.0,410.0
2.0,41.88,0.15,0.11,15760.0,2950.0,2010.0,1890.0,300.0,300.0
3.0,41.46,0.04,0.03,8920.0,940.0,740.0,3640.0,540.0,510.0
4.0,41.41,0.03,0.02,8250.0,680.0,580.0,4000.0,540.0,490.0
5.0,41.33,0.03,0.02,7320.0,730.0,640.0,4620.0,850.0,690.0
6.0,41.32,0.03,0.03,5880.0,600.0,490.0,7070.0,1570.0,1330.0
7.0,41.3,0.03,0.02,5890.0,440.0,380.0,6900.0,1170.0,1020.0
8.0,41.3,0.02,0.02,5800.0,280.0,250.0,7160.0,760.0,720.0
10.0,41.35,0.03,0.02,5240.0,380.0,360.0,9200.0,1700.0,1330.0
12.0,41.4,0.03,0.03,4630.0,200.0,200.0,12560.0,1610.0,1380.0
13.0,41.48,0.11,0.08,3890.0,410.0,400.0,19470.0,7990.0,4940.0
14.0,41.39,0.08,0.06,4100.0,410.0,390.0,15830.0,5420.0,3560.0
29.0,41.83,1.07,0.89,2240.0,1730.0,610.0,88270.0,489570.0,78400.0
31.0,41.72,0.94,0.8,2330.0,1590.0,610.0,72440.0,315500.0,62210.0
33.0,41.09,0.28,0.23,3080.0,860.0,520.0,19800.0,19650.0,10580.0
