phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
-1.0,42.51,2.12,0.31,14970.0,88760.0,5960.0,4270.0,4030.0,3260.0
0.0,43.34,0.85,0.4,26740.0,29980.0,9080.0,3510.0,1550.0,1450.0
2.0,42.58,0.22,0.13,12210.0,4050.0,2210.0,7050.0,2090.0,1940.0
4.0,43.94,4.66,1.62,53220.0,2025750.0,43040.0,1750.0,5670.0,1500.0
6.0,42.36,0.05,0.04,7870.0,1180.0,880.0,13170.0,3060.0,2650.0
7.0,42.44,0.05,0.04,7840.0,1380.0,1010.0,14390.0,4190.0,3380.0
8.0,42.46,0.03,0.02,7100.0,790.0,650.0,18150.0,3510.0,2980.0
9.0,42.59,0.08,0.05,9440.0,1530.0,1100.0,11830.0,2580.0,2280.0
10.0,42.56,0.02,0.02,7100.0,570.0,500.0,20280.0,3080.0,2650.0
12.0,42.73,0.13,0.07,10130.0,2500.0,1430.0,12120.0,3160.0,3080.0
14.0,42.69,0.03,0.02,7060.0,610.0,510.0,23970.0,3560.0,3210.0
16.0,42.76,0.03,0.02,7300.0,690.0,630.0,24030.0,4400.0,3510.0
17.0,42.74,0.03,0.03,6570.0,780.0,610.0,28970.0,6130.0,5370.0
18.0,42.82,0.02,0.02,6870.0,590.0,520.0,29270.0,4580.0,3990.0
21.0,42.83,0.03,0.03,6760.0,960.0,760.0,30430.0,8360.0,6690.0
22.0,42.85,0.02,0.01,7220.0,370.0,330.0,27390.0,2390.0,2290.0
23.0,42.86,0.03,0.02,7300.0,920.0,700.0,26900.0,6050.0,5340.0
24.0,42.86,0.01,0.01,6840.0,310.0,290.0,30860.0,2620.0,2350.0
25.0,42.85,0.01,0.01,6490.0,310.0,280.0,34160.0,3300.0,3140.0
26.0,42.88,0.03,0.02,6410.0,730.0,420.0,35770.0,5980.0,7380.0
27.0,42.86,0.01,0.01,6270.0,360.0,320.0,36830.0,4370.0,3910.0
28.0,42.86,0.01,0.01,6340.0,180.0,170.0,36230.0,2060.0,1980.0
30.0,42.88,0.04,0.03,5400.0,370.0,320.0,50740.0,8980.0,7650.0
31.0,42.84,0.01,0.01,5660.0,180.0,170.0,44040.0,3070.0,2790.0
32.0,42.82,0.02,0.01,5270.0,270.0,260.0,50030.0,6120.0,5210.0
33.0,42.83,0.01,0.01,5370.0,170.0,160.0,48680.0,3650.0,3340.0
34.0,42.78,0.01,0.01,5690.0,370.0,350.0,40920.0,6080.0,5070.0
35.0,42.8,0.01,0.01,5560.0,210.0,200.0,43920.0,3520.0,3220.0
37.0,42.87,0.03,0.02,4500.0,170.0,160.0,72110.0,7640.0,6740.0
39.0,42.83,0.03,0.02,4760.0,190.0,180.0,61350.0,6610.0,5960.0
40.0,42.79,0.03,0.02,4980.0,280.0,260.0,53920.0,7820.0,6740.0
41.0,42.8,0.04,0.04,4550.0,280.0,260.0,64990.0,11610.0,9460.0
43.0,42.86,0.07,0.06,4020.0,300.0,290.0,88940.0,22990.0,16630.0
46.0,42.66,0.02,0.02,5310.0,400.0,370.0,40740.0,6980.0,5730.0
50.0,42.62,0.56,0.09,7950.0,12990.0,2090.0,16420.0,13420.0,11700.0
54.0,42.6,0.03,0.03,4310.0,160.0,150.0,57410.0,6000.0,5120.0
55.0,42.66,0.05,0.05,4070.0,240.0,230.0,69440.0,13270.0,10730.0
56.0,42.65,0.06,0.05,4140.0,250.0,250.0,65950.0,13380.0,10280.0
57.0,42.5,0.13,0.05,5500.0,2410.0,1120.0,30420.0,22430.0,14990.0
58.0,42.35,0.08,0.07,5340.0,860.0,680.0,28130.0,11730.0,8430.0
59.0,42.69,0.08,0.07,3710.0,260.0,250.0,86260.0,22210.0,16650.0
60.0,42.8,0.57,0.5,3540.0,3380.0,850.0,103010.0,257510.0,89170.0
61.0,42.52,0.04,0.04,4080.0,230.0,220.0,58960.0,9690.0,7870.0
65.0,42.46,0.09,0.06,4570.0,630.0,560.0,43950.0,18730.0,12030.0
67.0,42.45,0.05,0.04,4490.0,630.0,520.0,44830.0,15670.0,11230.0
69.0,42.34,0.09,0.07,5610.0,1490.0,1070.0,24750.0,17290.0,9810.0
70.0,44.08,4.26,1.56,44110.0,1220090.0,35700.0,3080.0,10530.0,2570.0
71.0,45.4,4.33,2.62,124040.0,3415310.0,111930.0,1750.0,7240.0,1430.0
72.0,44.07,3.2,1.5,43470.0,510910.0,33930.0,3070.0,8400.0,2310.0
84.0,42.29,0.76,0.12,9240.0,16510.0,2660.0,8500.0,6980.0,5840.0
85.0,42.33,0.1,0.09,4510.0,740.0,710.0,38420.0,20960.0,11770.0
96.0,46.17,3.87,3.81,272370.0,5114850.0,267950.0,890.0,31310.0,700.0
97.0,42.38,2.31,0.17,7060.0,78600.0,3040.0,14430.0,31720.0,12790.0
117.0,42.36,1.05,0.14,7420.0,28110.0,2710.0,12940.0,22380.0,10740.0
