phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,41.93,0.08,0.06,12340.0,1490.0,1110.0,3260.0,430.0,420.0
2.0,41.46,0.03,0.02,6440.0,680.0,550.0,6950.0,1640.0,1360.0
4.0,41.45,0.01,0.01,6600.0,460.0,420.0,6540.0,930.0,810.0
7.0,41.55,0.02,0.02,5740.0,440.0,400.0,9690.0,1730.0,1430.0
9.0,41.67,0.03,0.03,5010.0,290.0,270.0,14670.0,2250.0,1940.0
10.0,41.67,0.03,0.03,4910.0,260.0,240.0,15350.0,2210.0,1930.0
11.0,41.68,0.03,0.03,4770.0,240.0,230.0,16310.0,2250.0,1910.0
14.0,41.66,0.05,0.05,4230.0,230.0,210.0,20320.0,3350.0,2960.0
15.0,41.53,0.06,0.06,4790.0,390.0,310.0,13580.0,3010.0,2710.0
16.0,41.56,0.06,0.06,4350.0,310.0,270.0,17250.0,3690.0,3180.0
17.0,41.57,0.19,0.07,4830.0,2970.0,1220.0,13150.0,15640.0,7870.0
