phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,42.52,0.03,0.03,17460.0,690.0,620.0,3200.0,120.0,120.0
1.0,41.98,0.0,0.0,7520.0,50.0,50.0,9280.0,110.0,110.0
2.0,42.0,0.0,0.0,6090.0,40.0,40.0,14450.0,200.0,200.0
3.0,42.12,0.0,0.0,5210.0,30.0,30.0,22670.0,280.0,270.0
4.0,42.34,0.01,0.01,3870.0,20.0,20.0,52850.0,860.0,810.0
5.0,42.49,0.0,0.0,3410.0,10.0,10.0,81730.0,970.0,950.0
6.0,42.24,0.0,0.0,4530.0,20.0,20.0,34640.0,410.0,410.0
7.0,42.31,0.01,0.0,7530.0,100.0,100.0,13500.0,300.0,290.0
8.0,42.52,0.01,0.01,3470.0,10.0,10.0,80960.0,1140.0,1100.0
9.0,42.29,0.0,0.0,6980.0,70.0,70.0,15410.0,280.0,270.0
11.0,42.33,0.0,0.0,6810.0,40.0,40.0,16870.0,200.0,190.0
12.0,42.37,0.0,0.0,4520.0,10.0,10.0,40130.0,390.0,380.0
13.0,42.33,0.0,0.0,6000.0,40.0,40.0,21940.0,360.0,350.0
14.0,42.33,0.0,0.0,6290.0,30.0,30.0,19810.0,170.0,170.0
15.0,42.32,0.0,0.0,5850.0,40.0,40.0,22780.0,340.0,330.0
16.0,42.35,0.0,0.0,4710.0,20.0,20.0,36200.0,320.0,310.0
17.0,42.32,0.0,0.0,5790.0,70.0,70.0,23170.0,610.0,590.0
18.0,42.33,0.0,0.0,4940.0,30.0,30.0,32180.0,440.0,430.0
19.0,42.24,0.0,0.0,5280.0,30.0,30.0,25590.0,330.0,340.0
20.0,42.32,0.01,0.01,4570.0,60.0,60.0,37070.0,1330.0,1250.0
22.0,42.15,0.01,0.01,4410.0,140.0,120.0,32870.0,2200.0,2110.0
23.0,42.12,0.0,0.0,4970.0,60.0,60.0,25080.0,750.0,700.0
24.0,42.06,0.01,0.01,5300.0,130.0,130.0,20420.0,1130.0,1040.0
27.0,42.04,0.0,0.0,4580.0,40.0,40.0,26940.0,560.0,530.0
28.0,41.94,0.01,0.01,4860.0,100.0,100.0,21190.0,1040.0,990.0
30.0,41.9,0.01,0.01,4670.0,50.0,50.0,21970.0,560.0,540.0
32.0,41.84,0.01,0.01,4620.0,80.0,80.0,21010.0,920.0,880.0
34.0,41.79,0.01,0.01,4580.0,70.0,70.0,20030.0,780.0,740.0
36.0,41.73,0.01,0.0,4660.0,40.0,40.0,18150.0,420.0,410.0
42.0,41.64,0.02,0.02,4310.0,120.0,120.0,19120.0,1410.0,1280.0
48.0,41.39,0.01,0.01,4710.0,80.0,70.0,12020.0,470.0,460.0
49.0,41.37,0.01,0.01,4510.0,80.0,80.0,12880.0,610.0,560.0
52.0,41.26,0.01,0.01,4570.0,100.0,100.0,11030.0,620.0,580.0
59.0,41.05,0.02,0.02,4460.0,200.0,200.0,9110.0,1050.0,900.0
66.0,40.79,0.03,0.03,4730.0,250.0,230.0,5950.0,830.0,740.0
71.0,40.67,0.03,0.03,4600.0,390.0,340.0,5510.0,1120.0,940.0
72.0,40.68,0.03,0.03,4450.0,270.0,250.0,5940.0,950.0,800.0
76.0,40.55,0.05,0.04,4510.0,530.0,440.0,4980.0,1470.0,1150.0
82.0,40.39,0.09,0.07,4230.0,730.0,600.0,4680.0,2380.0,1490.0
