phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
0.0,41.48,0.04,0.04,6490.0,1060.0,840.0,6960.0,2420.0,1760.0
1.0,41.67,0.09,0.07,5660.0,1790.0,1140.0,11080.0,8220.0,4750.0
2.0,41.63,0.04,0.03,7520.0,940.0,750.0,6220.0,1320.0,1130.0
3.0,41.89,0.09,0.05,9200.0,1800.0,1190.0,5600.0,1410.0,1280.0
4.0,41.92,0.03,0.03,8230.0,880.0,700.0,7230.0,1220.0,1100.0
5.0,42.18,0.76,0.27,11450.0,14240.0,4520.0,5030.0,4960.0,2620.0
7.0,42.11,0.06,0.05,9510.0,1020.0,840.0,6720.0,970.0,870.0
8.0,42.17,0.07,0.06,9980.0,1280.0,1020.0,6550.0,1110.0,960.0
9.0,42.11,0.04,0.03,8070.0,800.0,630.0,9370.0,1380.0,1300.0
10.0,42.07,0.04,0.03,6970.0,900.0,710.0,12000.0,2620.0,2190.0
12.0,42.12,0.05,0.04,8020.0,930.0,750.0,9650.0,1640.0,1450.0
13.0,42.09,0.02,0.02,6580.0,690.0,600.0,13670.0,2890.0,2340.0
14.0,42.04,0.02,0.02,6310.0,750.0,660.0,14040.0,3490.0,2620.0
15.0,42.05,0.01,0.01,5860.0,170.0,160.0,16590.0,1040.0,1020.0
18.0,42.02,0.01,0.01,5800.0,210.0,210.0,16440.0,1340.0,1210.0
19.0,42.06,0.02,0.02,4960.0,160.0,150.0,23360.0,1950.0,1770.0
20.0,42.08,0.07,0.05,4670.0,490.0,450.0,27200.0,8830.0,6110.0
21.0,41.97,0.01,0.01,5560.0,190.0,190.0,16730.0,1420.0,1260.0
22.0,42.06,0.02,0.02,4470.0,140.0,140.0,28840.0,2670.0,2390.0
23.0,42.01,0.04,0.03,4680.0,320.0,310.0,24960.0,4840.0,3690.0
24.0,42.06,0.03,0.03,4710.0,190.0,190.0,26030.0,3160.0,2700.0
25.0,42.04,0.01,0.01,5070.0,110.0,110.0,22040.0,1200.0,1120.0
27.0,42.15,0.01,0.01,5100.0,100.0,100.0,24470.0,1260.0,1190.0
34.0,43.05,0.39,0.27,14910.0,7410.0,4260.0,8130.0,3580.0,2430.0
37.0,42.62,0.01,0.01,7460.0,250.0,240.0,19750.0,1090.0,1020.0
38.0,42.65,0.02,0.01,7270.0,340.0,320.0,21460.0,1670.0,1480.0
40.0,42.57,0.01,0.01,7090.0,380.0,330.0,20510.0,2100.0,1970.0
42.0,42.77,0.11,0.05,9680.0,1710.0,820.0,13920.0,1720.0,2490.0
43.0,43.63,0.68,0.41,26360.0,21470.0,8690.0,5050.0,1940.0,1690.0
45.0,42.85,0.72,0.3,12530.0,13570.0,4380.0,9150.0,6100.0,4320.0
47.0,42.4,0.02,0.02,6240.0,1120.0,310.0,21720.0,2960.0,6720.0
48.0,42.45,0.01,0.01,5300.0,80.0,80.0,32180.0,1190.0,1130.0
50.0,42.43,0.01,0.01,5030.0,90.0,100.0,34810.0,1690.0,1580.0
51.0,42.42,0.01,0.01,4750.0,60.0,60.0,38890.0,1220.0,1190.0
55.0,42.33,0.01,0.01,4320.0,70.0,70.0,42260.0,1920.0,1770.0
56.0,42.26,0.01,0.01,4440.0,90.0,90.0,36720.0,1980.0,1890.0
58.0,42.89,1.31,0.52,19580.0,42280.0,8680.0,3920.0,3050.0,2150.0
59.0,42.17,0.01,0.01,4400.0,90.0,90.0,33790.0,1820.0,1640.0
60.0,42.12,0.05,0.05,4260.0,280.0,260.0,33820.0,6650.0,5550.0
61.0,42.31,0.08,0.07,3600.0,220.0,220.0,59700.0,14150.0,10500.0
63.0,42.24,0.19,0.13,3410.0,410.0,420.0,61100.0,38120.0,19080.0
66.0,41.95,0.02,0.02,5300.0,670.0,500.0,17880.0,4160.0,3670.0
73.0,41.85,0.03,0.03,4070.0,210.0,210.0,27450.0,3990.0,3200.0
