jd,filter,tag,mag,emag
2456804.94,r,P48+iPTF,20.97,0.15
2456815.96,r,P48+iPTF,21.02,0.18
2458582.65,g,LT+IOO,18.59,0.01
2458582.66,r,LT+IOO,18.84,0.02
2458582.66,u,LT+IOO,18.45,0.03
2458582.66,i,LT+IOO,19.11,0.02
2458582.66,z,LT+IOO,19.28,0.07
2458583.66,g,LT+IOO,18.48,0.02
2458583.66,r,LT+IOO,18.63,0.01
2458583.67,u,LT+IOO,18.32,0.03
2458584.73,g,LT+IOO,18.58,0.01
2458584.73,r,LT+IOO,18.68,0.02
2458584.73,u,LT+IOO,18.57,0.02
2458584.74,i,LT+IOO,18.85,0.02
2458590.53,g,LT+IOO,19.47,0.14
2458590.53,r,LT+IOO,19.16,0.04
2458590.53,i,LT+IOO,19.24,0.07
2458590.53,z,LT+IOO,19.28,0.21
2458591.57,g,LT+IOO,19.44,0.07
2458591.57,r,LT+IOO,19.31,0.09
2458591.57,i,LT+IOO,19.22,0.06
2458591.57,z,LT+IOO,19.1,0.12
2458592.55,g,LT+IOO,19.4,0.13
2458592.55,r,LT+IOO,19.26,0.12
2458592.55,i,LT+IOO,19.27,0.1
2458592.55,z,LT+IOO,19.33,0.17
2458593.61,r,LT+IOO,19.41,0.06
2458593.61,i,LT+IOO,19.41,0.08
2458593.61,z,LT+IOO,19.46,0.12
2458594.61,g,LT+IOO,19.69,0.2
2458594.62,r,LT+IOO,19.5,0.08
2458594.62,i,LT+IOO,19.48,0.08
2458594.62,z,LT+IOO,19.52,0.16
2458595.59,g,LT+IOO,19.82,0.1
2458595.59,r,LT+IOO,19.6,0.07
2458595.59,i,LT+IOO,19.45,0.07
2458595.6,z,LT+IOO,19.55,0.11
2458596.64,g,LT+IOO,20.1,0.11
2458596.64,r,LT+IOO,19.75,0.06
2458596.64,i,LT+IOO,19.66,0.08
2458596.64,z,LT+IOO,19.71,0.16
2458597.65,g,LT+IOO,20.12,0.07
2458597.65,r,LT+IOO,19.77,0.05
2458597.65,i,LT+IOO,19.69,0.07
2458597.65,z,LT+IOO,19.95,0.15
2458598.62,g,LT+IOO,20.37,0.17
2458598.62,r,LT+IOO,19.89,0.06
2458598.62,i,LT+IOO,19.73,0.08
2458598.63,z,LT+IOO,20.13,0.3
2458599.69,g,LT+IOO,20.42,0.08
2458599.69,z,LT+IOO,20.17,0.12
2458601.66,i,LT+IOO,20.38,0.1
2458605.87,i,P60+SEDM,20.37,0.09
2458607.59,r,LT+IOO,21.22,0.11
2458607.59,i,LT+IOO,20.88,0.1
2458607.59,z,LT+IOO,20.72,0.16
2458610.7,g,LT+IOO,21.86,0.19
2458610.7,r,LT+IOO,21.36,0.21
2458610.7,i,LT+IOO,21.28,0.19
2458610.7,z,LT+IOO,20.92,0.42
2458611.67,g,LT+IOO,21.77,0.23
2458611.68,r,LT+IOO,21.52,0.19
2458611.68,i,LT+IOO,21.1,0.12
2458611.68,z,LT+IOO,20.72,0.21
2458628.78,r,P60+SEDM,21.21,0.23
2458583.33,B,Swift,18.61,0.19
2458583.33,u,Swift,18.29,0.11
2458583.33,UVM2,Swift,18.55,0.07
2458583.33,UVW1,Swift,18.68,0.11
2458583.33,UVW2,Swift,18.8,0.1
2458583.33,V,Swift,18.68,0.4
2458584.08,B,Swift,18.49,0.14
2458584.08,u,Swift,18.51,0.11
2458584.08,UVM2,Swift,18.85,0.09
2458584.07,UVW1,Swift,18.87,0.1
2458584.08,UVW2,Swift,19.22,0.1
2458584.08,V,Swift,18.46,0.29
2458583.33,u,Swift,18.29,0.11
2458584.08,u,Swift,18.51,0.11
2458584.07,UVW1,Swift,18.87,0.1
2458361.7,ZTF_g,P48,21.53,0.31
2458364.72,ZTF_g,P48,21.79,0.32
2458383.69,ZTF_g,P48,20.71,0.35
2458384.74,ZTF_g,P48,20.53,0.36
2458390.62,ZTF_g,P48,21.75,0.32
2458390.64,ZTF_g,P48,21.72,0.32
2458580.93,ZTF_g,P48,20.81,0.25
2458580.95,ZTF_g,P48,20.5,0.17
2458580.95,ZTF_g,P48,20.66,0.2
2458580.97,ZTF_r,P48,20.65,0.26
2458580.97,ZTF_r,P48,20.77,0.24
2458580.99,ZTF_r,P48,20.84,0.21
2458581.01,ZTF_r,P48,20.96,0.24
2458581.91,ZTF_r,P48,19.18,0.06
2458581.95,ZTF_r,P48,19.23,0.07
2458581.97,ZTF_g,P48,18.76,0.03
2458581.99,ZTF_g,P48,18.8,0.05
2458582.02,ZTF_i,P48,19.36,0.16
2458582.89,ZTF_g,P48,18.5,0.02
2458582.93,ZTF_r,P48,18.69,0.03
2458582.95,ZTF_r,P48,18.78,0.03
2458582.97,ZTF_r,P48,18.77,0.03
2458582.99,ZTF_g,P48,18.46,0.02
2458583.91,ZTF_g,P48,18.53,0.03
2458584.88,ZTF_r,P48,18.74,0.04
2458584.91,ZTF_r,P48,18.75,0.04
2458584.91,ZTF_r,P48,18.67,0.03
2458584.96,ZTF_g,P48,18.64,0.03
2458584.96,ZTF_g,P48,18.66,0.03
2458584.97,ZTF_g,P48,18.62,0.03
2458584.99,ZTF_g,P48,18.7,0.03
2458585.91,ZTF_r,P48,18.73,0.03
2458585.93,ZTF_r,P48,18.8,0.03
2458586.85,ZTF_r,P48,18.94,0.04
2458586.89,ZTF_r,P48,19.01,0.05
2458586.92,ZTF_g,P48,18.99,0.04
2458586.95,ZTF_g,P48,19.04,0.03
2458586.97,ZTF_g,P48,19.01,0.04
2458586.99,ZTF_r,P48,18.87,0.03
2458587.02,ZTF_i,P48,18.94,0.08
2458587.91,ZTF_r,P48,18.84,0.06
2458587.93,ZTF_r,P48,19.07,0.09
2458587.93,ZTF_r,P48,19.14,0.11
2458587.95,ZTF_g,P48,19.16,0.04
2458587.95,ZTF_g,P48,19.15,0.04
2458587.97,ZTF_g,P48,19.27,0.11
2458587.99,ZTF_g,P48,19.12,0.06
2458588.9,ZTF_r,P48,19.02,0.05
2458588.93,ZTF_r,P48,19.04,0.05
2458588.96,ZTF_r,P48,19.15,0.05
2458588.97,ZTF_g,P48,19.3,0.04
2458588.99,ZTF_g,P48,19.46,0.06
2458589.85,ZTF_r,P48,19.03,0.2
2458589.95,ZTF_g,P48,19.38,0.26
2458591.76,ZTF_g,P48,19.5,0.22
2458591.82,ZTF_i,P48,19.45,0.3
2458591.93,ZTF_r,P48,19.29,0.11
2458591.95,ZTF_r,P48,19.44,0.1
2458591.96,ZTF_r,P48,19.33,0.09
2458591.97,ZTF_r,P48,19.33,0.09
2458591.99,ZTF_g,P48,19.68,0.17
2458592.86,ZTF_r,P48,19.67,0.25
2458592.91,ZTF_r,P48,19.43,0.15
2458592.97,ZTF_g,P48,19.43,0.16
2458592.99,ZTF_g,P48,19.4,0.11
2458593.83,ZTF_r,P48,19.43,0.12
2458593.91,ZTF_r,P48,19.51,0.09
2458593.93,ZTF_r,P48,19.36,0.1
2458593.95,ZTF_r,P48,19.37,0.08
2458593.97,ZTF_g,P48,19.51,0.16
2458593.99,ZTF_g,P48,19.99,0.25
2458596.83,ZTF_r,P48,19.81,0.12
2458596.88,ZTF_i,P48,19.6,0.15
2458596.91,ZTF_r,P48,19.61,0.08
2458596.91,ZTF_r,P48,19.67,0.09
2458596.93,ZTF_r,P48,19.72,0.08
2458596.95,ZTF_g,P48,20.11,0.13
2458596.97,ZTF_g,P48,19.86,0.11
2458596.99,ZTF_g,P48,19.93,0.14
2458597.0,ZTF_g,P48,20.35,0.2
2458597.89,ZTF_r,P48,19.76,0.09
2458597.91,ZTF_r,P48,19.81,0.09
2458597.92,ZTF_r,P48,19.97,0.1
2458597.97,ZTF_g,P48,20.4,0.15
2458598.86,ZTF_r,P48,19.99,0.09
2458599.78,ZTF_g,P48,20.45,0.07
2458599.98,ZTF_r,P48,19.96,0.05
2458600.97,ZTF_r,P48,20.08,0.08
2458605.91,ZTF_r,P48,20.79,0.17
2458605.93,ZTF_r,P48,20.68,0.14
2458605.93,ZTF_r,P48,20.7,0.15
2458605.96,ZTF_r,P48,20.88,0.18
2458605.97,ZTF_i,P48,20.46,0.27
2458605.99,ZTF_g,P48,21.28,0.28
2458606.81,ZTF_r,P48,20.77,0.17
2458607.85,ZTF_r,P48,20.69,0.13
2458607.87,ZTF_r,P48,20.76,0.14
2458607.89,ZTF_r,P48,20.6,0.12
2458607.91,ZTF_g,P48,21.41,0.2
2458607.93,ZTF_g,P48,21.9,0.33
2458608.87,ZTF_r,P48,20.44,0.19
2458608.89,ZTF_r,P48,20.55,0.22
2458608.89,ZTF_r,P48,21.17,0.35
2458608.91,ZTF_g,P48,21.2,0.22
2458608.94,ZTF_g,P48,21.68,0.27
2458608.97,ZTF_r,P48,20.58,0.23
2458612.9,ZTF_g,P48,21.54,0.22
2458612.91,ZTF_g,P48,21.55,0.23
2458612.93,ZTF_r,P48,21.5,0.25
2458612.95,ZTF_r,P48,21.01,0.16
2458612.97,ZTF_r,P48,21.53,0.25
2458612.97,ZTF_r,P48,21.13,0.16
2458616.85,ZTF_i,P48,20.53,0.21
2458616.89,ZTF_r,P48,20.92,0.17
2458616.91,ZTF_r,P48,20.8,0.14
2458616.91,ZTF_r,P48,20.9,0.14
2458616.94,ZTF_r,P48,21.16,0.18
2458616.95,ZTF_g,P48,21.3,0.19
2458616.97,ZTF_g,P48,21.43,0.2
2458616.97,ZTF_g,P48,21.74,0.3
2458616.99,ZTF_g,P48,20.95,0.28
2458617.8,ZTF_r,P48,21.32,0.35
2458617.85,ZTF_r,P48,21.17,0.31
2458617.86,ZTF_r,P48,20.88,0.21
2458617.9,ZTF_g,P48,21.0,0.26
2458617.93,ZTF_g,P48,21.46,0.24
2458617.95,ZTF_g,P48,22.12,0.35
2458618.73,ZTF_r,P48,20.71,0.28
2458627.89,ZTF_r,P48,21.47,0.35
2458635.78,ZTF_r,P48,21.57,0.28
2458635.87,ZTF_r,P48,21.8,0.3
2458635.88,ZTF_r,P48,21.77,0.28
2458635.93,ZTF_g,P48,21.7,0.26
2458636.92,ZTF_r,P48,21.56,0.27
2458638.78,ZTF_r,P48,21.63,0.31
2458639.79,ZTF_r,P48,21.68,0.31
2458640.75,ZTF_r,P48,21.65,0.34
2458640.76,ZTF_r,P48,21.76,0.32
2458640.85,ZTF_g,P48,21.93,0.34
2458641.71,ZTF_g,P48,21.5,0.36
2458641.91,ZTF_r,P48,21.98,0.34
2458642.9,ZTF_g,P48,22.02,0.34
2458645.82,ZTF_r,P48,21.34,0.32
2458650.79,ZTF_r,P48,20.93,0.34
2458666.74,ZTF_g,P48,21.65,0.29
2458667.83,ZTF_g,P48,21.59,0.3
2458670.79,ZTF_g,P48,21.52,0.26
2458673.83,ZTF_g,P48,21.88,0.28
2458673.84,ZTF_g,P48,22.09,0.36
2458674.85,ZTF_g,P48,21.82,0.35
2458675.83,ZTF_g,P48,21.25,0.3
2458683.68,ZTF_g,P48,21.6,0.36
2458729.67,ZTF_g,P48,19.98,0.29
2458733.66,ZTF_g,P48,21.3,0.35
2458744.64,ZTF_g,P48,21.47,0.3
2458747.63,ZTF_g,P48,21.5,0.33
2458963.96,ZTF_g,P48,21.18,0.2
2459001.7,ZTF_g,P48,21.1,0.36
2459037.81,ZTF_i,P48,21.17,0.28
2459042.88,ZTF_r,P48,21.38,0.33
2459068.79,ZTF_i,P48,21.34,0.34
2459072.79,ZTF_i,P48,21.37,0.3
2459082.72,ZTF_i,P48,21.33,0.36
2459139.62,ZTF_g,P48,21.59,0.36
2459714.83,ZTF_g,P48,20.58,0.36
2458569.14,o,P48,20.03,0.27
2458581.14,c,P48,20.12,0.2
2458583.11,o,P48,18.78,0.05
2458589.13,o,P48,19.07,0.11
2458595.09,o,P48,19.39,0.22
2458597.11,o,P48,19.96,0.16
2458601.12,o,P48,20.04,0.25
2458672.8,o,P48,20.56,0.3
2459438.84,c,P48,21.35,0.35
2459680.0,c,P48,19.67,0.25
