jd,filter,tag,mag,emag
2458487.91,g,P60+SEDM,20.17,0.12
2458487.91,i,P60+SEDM,18.97,0.07
2458581.65,i,P60+SEDM,20.54,0.2
2458582.76,i,P60+SEDM,20.52,0.14
2458423.89,ZTF_r,P48,20.29,0.15
2458423.92,ZTF_g,P48,20.12,0.18
2458424.86,ZTF_g,P48,20.57,0.28
2458425.9,ZTF_g,P48,20.83,0.21
2458425.9,ZTF_g,P48,21.06,0.28
2458425.94,ZTF_r,P48,21.23,0.28
2458425.94,ZTF_r,P48,21.1,0.3
2458427.97,ZTF_r,P48,21.18,0.29
2458428.84,ZTF_g,P48,21.29,0.25
2458428.84,ZTF_g,P48,21.56,0.32
2458429.91,ZTF_r,P48,20.85,0.2
2458429.95,ZTF_g,P48,20.9,0.15
2458430.84,ZTF_g,P48,20.94,0.18
2458430.87,ZTF_g,P48,20.99,0.16
2458430.92,ZTF_g,P48,20.6,0.12
2458430.93,ZTF_g,P48,20.74,0.13
2458430.95,ZTF_r,P48,20.43,0.14
2458430.97,ZTF_r,P48,20.56,0.16
2458431.96,ZTF_g,P48,20.51,0.23
2458432.91,ZTF_r,P48,19.98,0.11
2458432.92,ZTF_g,P48,20.2,0.11
2458434.92,ZTF_g,P48,19.88,0.12
2458434.92,ZTF_g,P48,20.1,0.13
2458434.94,ZTF_r,P48,19.77,0.14
2458435.88,ZTF_r,P48,19.66,0.14
2458437.88,ZTF_r,P48,19.46,0.08
2458437.89,ZTF_r,P48,19.45,0.08
2458437.96,ZTF_g,P48,19.63,0.09
2458437.96,ZTF_g,P48,19.59,0.08
2458438.95,ZTF_g,P48,19.6,0.06
2458439.01,ZTF_r,P48,19.2,0.06
2458439.83,ZTF_r,P48,20.22,0.15
2458439.94,ZTF_g,P48,19.35,0.05
2458439.95,ZTF_g,P48,19.43,0.06
2458441.85,ZTF_r,P48,19.97,0.13
2458441.86,ZTF_r,P48,19.95,0.13
2458441.93,ZTF_r,P48,19.03,0.05
2458441.97,ZTF_g,P48,19.23,0.05
2458443.0,ZTF_g,P48,19.23,0.05
2458443.03,ZTF_r,P48,19.0,0.05
2458443.75,ZTF_g,P48,19.21,0.13
2458443.78,ZTF_g,P48,19.23,0.1
2458443.85,ZTF_r,P48,19.7,0.11
2458443.87,ZTF_r,P48,19.84,0.12
2458443.91,ZTF_r,P48,18.83,0.05
2458443.91,ZTF_r,P48,18.88,0.06
2458444.01,ZTF_g,P48,19.1,0.06
2458444.01,ZTF_g,P48,19.25,0.06
2458447.87,ZTF_r,P48,19.19,0.1
2458447.87,ZTF_r,P48,19.52,0.14
2458447.93,ZTF_r,P48,18.91,0.09
2458447.93,ZTF_r,P48,18.84,0.08
2458448.9,ZTF_r,P48,19.37,0.1
2458448.93,ZTF_r,P48,19.24,0.1
2458448.95,ZTF_r,P48,18.73,0.07
2458449.82,ZTF_r,P48,18.59,0.06
2458449.87,ZTF_r,P48,19.82,0.25
2458449.88,ZTF_r,P48,19.42,0.16
2458450.88,ZTF_r,P48,18.69,0.04
2458450.88,ZTF_r,P48,18.79,0.06
2458450.97,ZTF_g,P48,19.28,0.08
2458455.86,ZTF_r,P48,18.72,0.04
2458455.87,ZTF_r,P48,18.66,0.04
2458456.0,ZTF_r,P48,18.5,0.07
2458456.0,ZTF_r,P48,18.78,0.14
2458456.74,ZTF_r,P48,18.73,0.05
2458456.78,ZTF_r,P48,18.61,0.03
2458457.76,ZTF_r,P48,18.76,0.06
2458457.78,ZTF_g,P48,19.31,0.06
2458462.03,ZTF_r,P48,18.68,0.05
2458462.03,ZTF_r,P48,18.7,0.05
2458462.83,ZTF_r,P48,18.63,0.06
2458464.8,ZTF_r,P48,18.78,0.05
2458464.8,ZTF_r,P48,18.81,0.04
2458464.82,ZTF_g,P48,19.68,0.07
2458465.99,ZTF_r,P48,18.76,0.05
2458466.81,ZTF_g,P48,19.58,0.3
2458466.82,ZTF_r,P48,18.54,0.11
2458467.93,ZTF_g,P48,19.82,0.33
2458468.93,ZTF_g,P48,19.8,0.08
2458468.99,ZTF_r,P48,18.74,0.04
2458469.99,ZTF_g,P48,19.91,0.09
2458471.75,ZTF_r,P48,19.38,0.32
2458471.78,ZTF_r,P48,18.85,0.1
2458471.79,ZTF_r,P48,18.67,0.06
2458472.78,ZTF_r,P48,19.48,0.1
2458472.99,ZTF_g,P48,19.98,0.18
2458474.84,ZTF_r,P48,18.74,0.07
2458474.84,ZTF_r,P48,18.71,0.07
2458476.03,ZTF_g,P48,19.72,0.25
2458476.94,ZTF_r,P48,19.52,0.11
2458480.94,ZTF_r,P48,19.05,0.07
2458481.96,ZTF_r,P48,20.03,0.16
2458481.96,ZTF_r,P48,19.9,0.14
2458486.95,ZTF_r,P48,19.2,0.09
2458490.72,ZTF_r,P48,19.19,0.06
2458493.74,ZTF_g,P48,21.0,0.34
2458493.78,ZTF_r,P48,19.25,0.07
2458503.79,ZTF_r,P48,19.18,0.33
2458509.72,ZTF_g,P48,20.71,0.27
2458509.78,ZTF_r,P48,19.69,0.12
2458522.66,ZTF_g,P48,21.04,0.28
2458522.72,ZTF_r,P48,19.67,0.08
2458523.71,ZTF_r,P48,19.65,0.07
2458523.72,ZTF_r,P48,19.61,0.06
2458526.69,ZTF_r,P48,19.85,0.11
2458526.69,ZTF_r,P48,19.78,0.1
2458539.71,ZTF_r,P48,20.43,0.15
2458540.67,ZTF_g,P48,21.5,0.33
2458540.7,ZTF_r,P48,19.93,0.09
2458547.69,ZTF_r,P48,20.0,0.1
2458547.78,ZTF_g,P48,21.11,0.28
2458559.66,ZTF_g,P48,20.68,0.33
2458559.73,ZTF_r,P48,20.06,0.18
2458559.73,ZTF_r,P48,19.92,0.17
2458560.82,ZTF_r,P48,19.9,0.23
2458560.83,ZTF_r,P48,20.16,0.27
2458562.66,ZTF_r,P48,20.16,0.29
2458562.66,ZTF_r,P48,19.73,0.21
2458567.64,ZTF_r,P48,20.16,0.12
2458567.64,ZTF_r,P48,20.25,0.13
2458568.7,ZTF_g,P48,21.27,0.3
2458573.74,ZTF_r,P48,20.35,0.22
2458574.68,ZTF_g,P48,20.38,0.3
2458575.72,ZTF_r,P48,19.8,0.29
2458575.72,ZTF_r,P48,19.73,0.29
2458581.66,ZTF_r,P48,20.22,0.31
2458582.66,ZTF_g,P48,21.1,0.29
2458582.69,ZTF_r,P48,20.16,0.16
2458582.69,ZTF_r,P48,20.23,0.15
2458585.66,ZTF_r,P48,20.66,0.3
2458586.7,ZTF_r,P48,20.39,0.22
2458588.66,ZTF_r,P48,20.36,0.27
2458598.66,ZTF_r,P48,20.33,0.16
2458598.66,ZTF_r,P48,20.48,0.18
2458599.66,ZTF_r,P48,20.71,0.23
2458601.77,ZTF_r,P48,20.34,0.2
2458601.77,ZTF_r,P48,20.64,0.25
2458606.68,ZTF_r,P48,20.18,0.14
2458606.68,ZTF_r,P48,20.39,0.17
2458608.72,ZTF_r,P48,20.56,0.26
2458617.72,ZTF_r,P48,20.48,0.28
2458641.68,ZTF_r,P48,20.63,0.34
2459119.02,ZTF_r,P48,21.51,0.32
2458425.12,c,P48,20.6,0.32
2458433.08,c,P48,20.2,0.18
2458435.05,o,P48,20.12,0.26
2458437.07,c,P48,19.49,0.12
2458443.05,o,P48,18.98,0.13
2458446.98,o,P48,19.14,0.18
2458451.03,o,P48,18.82,0.08
2458455.05,o,P48,18.76,0.06
2458457.12,c,P48,19.15,0.08
2458459.06,o,P48,18.68,0.06
2458461.08,c,P48,19.26,0.07
2458463.02,o,P48,18.94,0.08
2458467.05,o,P48,18.94,0.07
2458467.96,o,P48,18.71,0.05
2458471.04,o,P48,18.64,0.07
2458473.02,o,P48,18.96,0.12
2458479.04,o,P48,18.85,0.09
2458481.02,o,P48,19.02,0.07
2458486.98,o,P48,19.34,0.11
2458489.0,c,P48,20.19,0.24
2458491.01,o,P48,19.41,0.11
2458493.04,c,P48,20.03,0.11
2458494.97,o,P48,19.44,0.08
2458497.02,o,P48,19.23,0.1
2458498.97,o,P48,19.53,0.11
2458500.95,o,P48,19.63,0.18
2458508.94,o,P48,19.76,0.19
2458510.94,o,P48,20.19,0.25
2458514.93,o,P48,19.81,0.14
2458518.93,o,P48,19.73,0.18
2458526.94,o,P48,20.14,0.22
2458538.91,o,P48,20.06,0.34
2458546.91,o,P48,20.63,0.35
2458550.87,o,P48,20.43,0.27
2458554.87,o,P48,20.29,0.28
2458568.85,o,P48,20.39,0.22
2458572.83,o,P48,20.33,0.26
