jd,filter,tag,mag,emag
2458347.76,r,P60+SEDM,20.02,0.05
2458347.76,r,P60+SEDM,20.06,0.04
2458347.76,g,P60+SEDM,20.4,0.06
2458347.76,g,P60+SEDM,20.47,0.07
2458347.76,i,P60+SEDM,19.92,0.1
2458347.76,i,P60+SEDM,19.92,0.53
2458361.64,r,P60+SEDM,20.32,0.04
2458361.64,r,P60+SEDM,20.37,0.06
2458361.64,g,P60+SEDM,21.33,0.07
2458361.64,g,P60+SEDM,21.42,0.07
2458361.65,i,P60+SEDM,19.94,0.03
2458361.65,i,P60+SEDM,19.92,0.04
2458340.68,ZTF_r,P48,20.01,0.12
2458343.66,ZTF_r,P48,20.69,0.16
2458343.68,ZTF_g,P48,20.94,0.22
2458344.82,ZTF_i,P48,20.32,0.24
2458346.66,ZTF_g,P48,20.49,0.17
2458346.68,ZTF_r,P48,20.06,0.1
2458348.68,ZTF_i,P48,19.73,0.13
2458350.65,ZTF_r,P48,19.55,0.07
2458350.66,ZTF_r,P48,19.59,0.08
2458350.68,ZTF_r,P48,19.59,0.08
2458350.71,ZTF_r,P48,19.72,0.09
2458350.74,ZTF_g,P48,20.16,0.15
2458350.75,ZTF_g,P48,19.98,0.13
2458350.76,ZTF_g,P48,20.08,0.16
2458350.78,ZTF_g,P48,19.95,0.17
2458351.66,ZTF_r,P48,19.6,0.07
2458351.68,ZTF_r,P48,19.73,0.08
2458351.71,ZTF_r,P48,19.57,0.08
2458351.75,ZTF_g,P48,20.18,0.17
2458351.76,ZTF_g,P48,20.26,0.17
2458351.78,ZTF_g,P48,20.14,0.18
2458352.66,ZTF_g,P48,20.05,0.2
2458352.68,ZTF_g,P48,20.07,0.18
2458352.69,ZTF_g,P48,20.02,0.15
2458352.73,ZTF_r,P48,19.51,0.11
2458352.73,ZTF_r,P48,19.71,0.13
2458352.76,ZTF_r,P48,19.65,0.12
2458353.65,ZTF_r,P48,19.72,0.11
2458353.66,ZTF_r,P48,19.76,0.11
2458353.68,ZTF_r,P48,19.66,0.09
2458353.7,ZTF_r,P48,19.65,0.09
2458353.74,ZTF_r,P48,19.63,0.1
2458353.77,ZTF_r,P48,19.51,0.09
2458353.78,ZTF_r,P48,19.67,0.12
2458353.78,ZTF_r,P48,19.8,0.13
2458354.69,ZTF_r,P48,19.62,0.1
2458354.71,ZTF_r,P48,19.46,0.1
2458354.71,ZTF_r,P48,19.67,0.15
2458354.75,ZTF_r,P48,19.57,0.1
2458355.74,ZTF_r,P48,19.68,0.12
2458355.76,ZTF_r,P48,19.78,0.15
2458356.71,ZTF_r,P48,19.82,0.15
2458356.71,ZTF_r,P48,19.7,0.13
2458356.72,ZTF_r,P48,19.9,0.16
2458356.74,ZTF_r,P48,19.93,0.18
2458356.76,ZTF_r,P48,19.74,0.16
2458357.68,ZTF_r,P48,19.66,0.13
2458357.74,ZTF_r,P48,19.87,0.17
2458357.76,ZTF_r,P48,19.64,0.15
2458357.78,ZTF_r,P48,20.15,0.26
2458358.7,ZTF_r,P48,20.12,0.18
2458358.72,ZTF_r,P48,19.75,0.13
2458358.75,ZTF_r,P48,19.95,0.18
2458359.72,ZTF_r,P48,20.3,0.3
2458359.72,ZTF_r,P48,19.92,0.14
2458359.74,ZTF_r,P48,19.88,0.15
2458359.77,ZTF_r,P48,20.0,0.21
2458360.64,ZTF_g,P48,21.31,0.33
2458360.73,ZTF_r,P48,20.24,0.16
2458360.74,ZTF_r,P48,20.13,0.16
2458360.76,ZTF_r,P48,20.29,0.22
2458361.64,ZTF_r,P48,20.16,0.1
2458361.65,ZTF_g,P48,21.33,0.25
2458361.7,ZTF_g,P48,21.04,0.21
2458361.75,ZTF_r,P48,20.32,0.17
2458361.76,ZTF_r,P48,20.54,0.23
2458362.64,ZTF_r,P48,20.24,0.11
2458362.7,ZTF_g,P48,21.68,0.34
2458362.78,ZTF_i,P48,20.04,0.22
2458365.64,ZTF_r,P48,20.37,0.11
2458365.72,ZTF_g,P48,21.7,0.36
2458366.78,ZTF_i,P48,20.15,0.28
2458367.66,ZTF_r,P48,20.66,0.18
2458367.68,ZTF_r,P48,20.68,0.2
2458367.71,ZTF_r,P48,20.5,0.16
2458368.64,ZTF_r,P48,20.58,0.16
2458368.65,ZTF_r,P48,20.61,0.16
2458368.66,ZTF_r,P48,20.97,0.21
2458368.69,ZTF_r,P48,20.66,0.18
2458369.63,ZTF_r,P48,20.73,0.21
2458369.66,ZTF_r,P48,20.78,0.15
2458369.68,ZTF_r,P48,20.54,0.14
2458371.64,ZTF_r,P48,20.86,0.17
2458371.65,ZTF_r,P48,20.78,0.17
2458371.66,ZTF_r,P48,20.77,0.17
2458372.64,ZTF_r,P48,20.69,0.15
2458372.66,ZTF_r,P48,20.94,0.21
2458374.63,ZTF_r,P48,20.74,0.17
2458374.65,ZTF_r,P48,20.85,0.2
2458374.66,ZTF_r,P48,20.89,0.22
2458377.64,ZTF_r,P48,21.16,0.3
2458378.62,ZTF_r,P48,20.68,0.24
2458378.63,ZTF_r,P48,21.32,0.34
2458379.64,ZTF_i,P48,20.93,0.34
2458381.61,ZTF_r,P48,20.31,0.28
2458382.65,ZTF_r,P48,21.12,0.35
2458388.68,ZTF_r,P48,20.58,0.34
2458338.83,o,P48,20.43,0.29
2458342.82,o,P48,20.29,0.26
2458344.84,c,P48,20.58,0.24
2458348.8,o,P48,19.92,0.16
2458362.75,o,P48,20.21,0.27
2458380.73,o,P48,20.35,0.31
2459080.77,c,P48,21.01,0.33
2459761.88,o,P48,20.03,0.27
