jd,filter,tag,mag,emag
2458568.74,r,P60+SEDM,17.8,0.03
2458590.53,g,LT+IOO,16.4,0.31
2458590.53,r,LT+IOO,16.44,0.07
2458590.53,i,LT+IOO,16.49,0.06
2458590.54,z,LT+IOO,16.6,0.08
2458591.84,r,P60+SEDM,16.37,0.13
2458591.86,r,P60+SEDM,16.43,0.05
2458591.86,g,P60+SEDM,16.55,0.51
2458591.86,i,P60+SEDM,16.56,0.02
2458592.56,g,LT+IOO,16.25,0.04
2458592.56,r,LT+IOO,16.39,0.02
2458592.56,i,LT+IOO,16.57,0.02
2458592.56,z,LT+IOO,16.65,0.02
2458596.44,u,LT+IOO,16.65,0.05
2458596.45,g,LT+IOO,16.25,0.04
2458596.45,r,LT+IOO,16.41,0.03
2458596.45,i,LT+IOO,16.59,0.04
2458596.45,z,LT+IOO,16.62,0.03
2458597.38,u,LT+IOO,16.65,0.03
2458597.39,g,LT+IOO,16.29,0.04
2458597.39,r,LT+IOO,16.46,0.02
2458597.39,i,LT+IOO,16.6,0.03
2458597.39,z,LT+IOO,16.65,0.03
2458597.71,r,P60+SEDM,16.47,0.01
2458597.72,r,P60+SEDM,16.42,0.02
2458597.73,g,P60+SEDM,16.43,0.03
2458597.73,i,P60+SEDM,16.55,0.02
2458597.73,u,P60+SEDM,16.84,0.16
2458598.36,u,LT+IOO,16.84,0.04
2458598.36,g,LT+IOO,16.33,0.03
2458598.36,r,LT+IOO,16.47,0.02
2458598.36,i,LT+IOO,16.62,0.03
2458598.36,z,LT+IOO,16.65,0.03
2458599.36,u,LT+IOO,16.84,0.04
2458599.36,g,LT+IOO,16.36,0.03
2458599.36,r,LT+IOO,16.52,0.06
2458600.39,u,LT+IOO,17.03,0.03
2458600.39,g,LT+IOO,16.45,0.04
2458600.39,r,LT+IOO,16.56,0.02
2458600.39,i,LT+IOO,16.69,0.03
2458600.39,z,LT+IOO,16.7,0.03
2458602.37,u,LT+IOO,17.36,0.04
2458602.37,g,LT+IOO,16.73,0.04
2458602.37,r,LT+IOO,16.79,0.03
2458602.37,i,LT+IOO,16.87,0.03
2458602.38,z,LT+IOO,16.96,0.03
2458604.36,u,LT+IOO,17.85,0.18
2458604.37,g,LT+IOO,16.91,0.01
2458604.37,r,LT+IOO,16.85,0.01
2458604.37,i,LT+IOO,17.01,0.03
2458604.37,z,LT+IOO,17.0,0.01
2458607.37,u,LT+IOO,18.69,0.22
2458607.37,g,LT+IOO,17.41,0.02
2458607.37,r,LT+IOO,17.16,0.02
2458607.37,i,LT+IOO,17.22,0.01
2458607.37,z,LT+IOO,17.31,0.02
2458611.39,u,LT+IOO,19.15,0.31
2458611.4,g,LT+IOO,17.82,0.02
2458611.4,r,LT+IOO,17.55,0.01
2458611.4,i,LT+IOO,17.59,0.01
2458611.4,z,LT+IOO,17.53,0.02
2458614.38,g,LT+IOO,18.26,0.05
2458614.38,r,LT+IOO,17.86,0.03
2458614.38,i,LT+IOO,17.95,0.04
2458614.38,z,LT+IOO,17.72,0.03
2458625.37,g,LT+IOO,18.95,0.06
2458625.38,r,LT+IOO,18.51,0.03
2458625.38,i,LT+IOO,18.52,0.02
2458625.38,z,LT+IOO,18.26,0.04
2458632.39,g,LT+IOO,19.34,0.05
2458632.39,r,LT+IOO,18.85,0.04
2458632.39,i,LT+IOO,18.74,0.03
2458632.39,z,LT+IOO,18.61,0.06
2458639.41,g,LT+IOO,20.02,0.26
2458639.41,r,LT+IOO,19.28,0.07
2458639.41,i,LT+IOO,19.29,0.09
2458639.41,z,LT+IOO,18.83,0.13
2458657.39,r,LT+IOO,20.77,0.15
2458657.39,i,LT+IOO,20.55,0.21
2458423.97,ZTF_g,P48,19.57,0.35
2458557.85,ZTF_i,P48,18.6,0.17
2458559.74,ZTF_r,P48,18.0,0.09
2458560.71,ZTF_g,P48,18.6,0.19
2458561.73,ZTF_g,P48,18.47,0.25
2458562.65,ZTF_r,P48,17.7,0.09
2458562.72,ZTF_g,P48,18.23,0.24
2458567.7,ZTF_g,P48,18.36,0.08
2458567.72,ZTF_r,P48,17.66,0.03
2458572.7,ZTF_g,P48,18.8,0.17
2458572.72,ZTF_r,P48,17.84,0.09
2458575.72,ZTF_r,P48,17.8,0.07
2458575.76,ZTF_g,P48,18.69,0.12
2458580.71,ZTF_r,P48,18.05,0.05
2458581.79,ZTF_i,P48,17.92,0.06
2458582.65,ZTF_g,P48,18.85,0.19
2458582.7,ZTF_r,P48,17.68,0.03
2458584.72,ZTF_g,P48,17.73,0.06
2458585.75,ZTF_i,P48,17.2,0.03
2458587.71,ZTF_g,P48,16.79,0.03
2458588.75,ZTF_g,P48,16.68,0.04
2458589.73,ZTF_r,P48,16.44,0.03
2458591.84,ZTF_r,P48,16.38,0.04
2458593.83,ZTF_r,P48,16.38,0.03
2458594.67,ZTF_r,P48,16.38,0.01
2458594.68,ZTF_g,P48,16.31,0.02
2458596.85,ZTF_i,P48,16.55,0.03
2458598.7,ZTF_g,P48,16.4,0.01
2458599.65,ZTF_r,P48,16.46,0.01
2458601.76,ZTF_r,P48,16.65,0.02
2458605.72,ZTF_g,P48,17.16,0.03
2458605.72,ZTF_g,P48,17.2,0.03
2458606.66,ZTF_g,P48,17.27,0.03
2458606.68,ZTF_r,P48,16.94,0.02
2458607.76,ZTF_i,P48,17.11,0.03
2458608.69,ZTF_g,P48,17.58,0.04
2458608.69,ZTF_g,P48,17.55,0.03
2458608.72,ZTF_r,P48,17.18,0.02
2458609.66,ZTF_r,P48,17.34,0.03
2458609.69,ZTF_g,P48,17.77,0.05
2458616.71,ZTF_i,P48,18.11,0.09
2458617.69,ZTF_g,P48,18.45,0.14
2458617.72,ZTF_r,P48,17.94,0.07
2458617.73,ZTF_r,P48,18.0,0.07
2458618.76,ZTF_r,P48,18.24,0.1
2458633.68,ZTF_r,P48,18.71,0.1
2458633.72,ZTF_g,P48,19.14,0.21
2458634.68,ZTF_r,P48,18.94,0.13
2458634.68,ZTF_r,P48,18.91,0.12
2458634.71,ZTF_g,P48,19.22,0.2
2458638.68,ZTF_g,P48,19.55,0.29
2458638.71,ZTF_r,P48,19.52,0.33
2458642.72,ZTF_r,P48,19.55,0.25
2459196.99,ZTF_r,P48,19.76,0.3
2458278.77,o,P48,19.23,0.33
2458495.03,o,P48,19.8,0.3
2458550.95,o,P48,19.73,0.32
2458554.92,o,P48,18.96,0.16
2458558.93,o,P48,18.67,0.23
2458562.89,o,P48,17.55,0.15
2458566.91,o,P48,17.5,0.2
2458568.91,o,P48,17.73,0.05
2458572.89,o,P48,17.64,0.04
2458576.93,c,P48,18.28,0.08
2458578.9,o,P48,17.87,0.06
2458580.9,c,P48,18.17,0.09
2458582.87,o,P48,17.68,0.06
2458588.89,o,P48,16.65,0.05
2458590.86,o,P48,16.48,0.06
2458594.84,o,P48,16.44,0.04
2458596.84,o,P48,16.49,0.02
2458598.82,o,P48,16.52,0.02
2458600.83,o,P48,16.6,0.05
2458604.84,c,P48,16.9,0.03
2458610.8,o,P48,17.61,0.14
2458612.76,c,P48,17.61,0.06
2458614.76,o,P48,17.94,0.1
2458616.76,o,P48,17.88,0.09
2458618.79,o,P48,18.17,0.14
2458620.81,o,P48,18.49,0.19
2458622.75,o,P48,18.5,0.27
2458626.74,o,P48,18.58,0.19
2458628.75,o,P48,18.38,0.11
2458634.74,o,P48,18.56,0.23
2458791.03,o,P48,19.84,0.35
2458817.01,c,P48,19.83,0.35
2458825.09,o,P48,20.2,0.29
2458839.0,o,P48,19.33,0.3
2458877.04,c,P48,19.8,0.32
