jd,filter,tag,mag,emag
2459001.71,r,P60+SEDM,17.76,0.08
2458198.97,ZTF_r,P48,19.37,0.13
2458198.99,ZTF_r,P48,19.38,0.11
2458199.0,ZTF_r,P48,19.79,0.19
2458199.02,ZTF_r,P48,20.12,0.24
2458199.02,ZTF_r,P48,19.97,0.23
2458199.03,ZTF_r,P48,20.54,0.36
2458217.97,ZTF_r,P48,20.32,0.32
2458219.0,ZTF_r,P48,19.93,0.35
2458219.88,ZTF_r,P48,20.16,0.29
2458222.93,ZTF_r,P48,19.9,0.26
2458222.93,ZTF_r,P48,19.44,0.16
2458222.95,ZTF_r,P48,20.32,0.34
2458224.93,ZTF_r,P48,19.6,0.22
2458224.94,ZTF_r,P48,19.59,0.2
2458226.92,ZTF_r,P48,20.47,0.36
2458227.0,ZTF_r,P48,20.23,0.34
2458231.84,ZTF_r,P48,19.77,0.26
2458231.92,ZTF_g,P48,20.22,0.33
2458244.92,ZTF_g,P48,19.62,0.26
2458247.84,ZTF_g,P48,20.36,0.35
2458249.82,ZTF_i,P48,19.67,0.33
2458249.86,ZTF_g,P48,19.42,0.21
2458252.88,ZTF_r,P48,20.6,0.33
2458252.9,ZTF_r,P48,20.33,0.3
2458252.93,ZTF_g,P48,19.89,0.2
2458254.92,ZTF_g,P48,20.04,0.22
2458255.8,ZTF_r,P48,19.87,0.23
2458255.96,ZTF_r,P48,20.35,0.28
2458256.79,ZTF_r,P48,20.31,0.34
2458257.82,ZTF_r,P48,19.95,0.21
2458272.78,ZTF_r,P48,19.51,0.16
2458272.81,ZTF_r,P48,20.1,0.29
2458273.81,ZTF_g,P48,20.03,0.28
2458273.84,ZTF_r,P48,20.09,0.26
2458273.86,ZTF_r,P48,20.3,0.33
2458277.79,ZTF_r,P48,20.58,0.36
2458277.84,ZTF_g,P48,20.36,0.34
2458279.83,ZTF_g,P48,19.78,0.23
2458281.78,ZTF_g,P48,20.35,0.29
2458281.82,ZTF_r,P48,20.06,0.24
2458281.85,ZTF_r,P48,20.41,0.34
2458281.88,ZTF_g,P48,20.34,0.36
2458282.82,ZTF_r,P48,20.07,0.28
2458282.84,ZTF_r,P48,19.54,0.17
2458282.87,ZTF_g,P48,19.57,0.19
2458282.88,ZTF_g,P48,20.07,0.29
2458283.84,ZTF_r,P48,20.02,0.21
2458284.78,ZTF_r,P48,20.38,0.29
2458284.81,ZTF_r,P48,19.81,0.2
