jd,filter,tag,mag,emag
2458883.1,g,ASASSN-P+Paczynski,19.0,1.0
2458883.1,g,ASASSN-P+Paczynski,16.21,0.07
2458883.1,g,ASASSN-P+Paczynski,16.27,0.09
2458883.1,g,ASASSN-P+Paczynski,16.19,0.08
2458884.12,g,ASASSN-P+Paczynski,17.0,0.1
2458884.13,g,ASASSN-P+Paczynski,15.79,0.05
2458884.13,g,ASASSN-P+Paczynski,15.85,0.06
2458884.13,g,ASASSN-P+Paczynski,15.79,0.05
2458884.52,UVW1,Swift+UVOT,17.02,0.06
2458884.53,u,Swift+UVOT,16.97,0.08
2458884.53,B,Swift+UVOT,17.02,0.1
2458884.53,UVW2,Swift+UVOT,17.82,0.07
2458884.53,V,Swift+UVOT,16.95,0.17
2458884.53,UVM2,Swift+UVOT,17.36,0.05
2458884.64,g,LT+IOO,17.38,0.01
2458884.86,i,P60+SEDM,17.54,0.03
2458885.13,g,ASASSN-P+Paczynski,15.91,0.06
2458885.13,g,ASASSN-P+Paczynski,16.04,0.06
2458885.13,g,ASASSN-P+Paczynski,15.85,0.06
2458886.05,UVW1,Swift+UVOT,18.71,0.15
2458886.05,u,Swift+UVOT,17.87,0.13
2458886.05,B,Swift+UVOT,17.2,0.12
2458886.06,UVW2,Swift+UVOT,18.97,0.13
2458886.06,V,Swift+UVOT,17.01,0.19
2458886.06,UVM2,Swift+UVOT,19.05,0.12
2458886.93,r,P60+SEDM,17.25,0.01
2458886.94,g,P60+SEDM,17.42,0.02
2458886.94,i,P60+SEDM,17.51,0.01
2458886.98,UVW1,Swift+UVOT,18.56,0.14
2458886.98,u,Swift+UVOT,17.9,0.13
2458886.98,B,Swift+UVOT,17.34,0.13
2458886.98,UVW2,Swift+UVOT,19.1,0.13
2458886.98,V,Swift+UVOT,17.22,0.21
2458886.99,UVM2,Swift+UVOT,19.26,0.14
2458887.78,UVW1,Swift+UVOT,18.9,0.17
2458887.78,u,Swift+UVOT,17.73,0.13
2458887.78,B,Swift+UVOT,17.21,0.13
2458887.78,UVW2,Swift+UVOT,19.19,0.15
2458887.78,V,Swift+UVOT,16.79,0.18
2458887.78,UVM2,Swift+UVOT,19.27,0.15
2458888.01,u,LCOGT1m+Sinistro,18.04,0.14
2458888.01,u,LCOGT1m+Sinistro,18.09,0.16
2458888.02,g,LCOGT1m+Sinistro,17.12,0.04
2458888.02,g,LCOGT1m+Sinistro,17.12,0.05
2458888.02,r,LCOGT1m+Sinistro,17.08,0.05
2458888.02,r,LCOGT1m+Sinistro,17.06,0.05
2458888.03,i,LCOGT1m+Sinistro,17.39,0.06
2458888.03,i,LCOGT1m+Sinistro,17.41,0.05
2458888.86,r,P60+SEDM,16.86,0.02
2458888.86,g,P60+SEDM,17.06,0.03
2458889.44,UVW1,Swift+UVOT,18.58,0.13
2458889.44,u,Swift+UVOT,17.94,0.13
2458889.44,B,Swift+UVOT,16.95,0.1
2458889.44,UVW2,Swift+UVOT,19.15,0.13
2458889.44,V,Swift+UVOT,16.91,0.18
2458889.44,UVM2,Swift+UVOT,19.2,0.13
2458892.26,UVW1,Swift+UVOT,19.07,0.1
2458892.26,u,Swift+UVOT,18.07,0.08
2458892.26,B,Swift+UVOT,16.99,0.06
2458892.26,UVW2,Swift+UVOT,19.51,0.1
2458892.27,V,Swift+UVOT,16.41,0.08
2458892.27,UVM2,Swift+UVOT,19.68,0.1
2458892.89,u,LCOGT1m+Sinistro,18.11,0.05
2458892.9,u,LCOGT1m+Sinistro,18.1,0.07
2458892.91,g,LCOGT1m+Sinistro,16.73,0.03
2458892.91,g,LCOGT1m+Sinistro,16.72,0.03
2458892.91,r,LCOGT1m+Sinistro,16.52,0.03
2458892.91,r,LCOGT1m+Sinistro,16.53,0.03
2458892.91,i,LCOGT1m+Sinistro,16.9,0.03
2458892.91,i,LCOGT1m+Sinistro,16.89,0.03
2458893.92,u,LCOGT1m+Sinistro,18.22,0.06
2458893.93,u,LCOGT1m+Sinistro,18.2,0.06
2458893.93,g,LCOGT1m+Sinistro,16.74,0.02
2458893.94,g,LCOGT1m+Sinistro,16.73,0.03
2458893.94,r,LCOGT1m+Sinistro,16.47,0.03
2458893.94,r,LCOGT1m+Sinistro,16.47,0.04
2458893.94,i,LCOGT1m+Sinistro,16.86,0.03
2458893.94,i,LCOGT1m+Sinistro,16.85,0.04
2458894.03,UVW1,Swift+UVOT,19.03,0.14
2458894.03,u,Swift+UVOT,18.17,0.12
2458894.03,B,Swift+UVOT,17.0,0.09
2458894.03,UVW2,Swift+UVOT,19.55,0.15
2458894.03,V,Swift+UVOT,16.47,0.11
2458894.03,UVM2,Swift+UVOT,19.73,0.14
2458896.81,u,LCOGT1m+Sinistro,18.36,0.07
2458896.82,u,LCOGT1m+Sinistro,18.37,0.08
2458896.83,g,LCOGT1m+Sinistro,16.82,0.02
2458896.83,g,LCOGT1m+Sinistro,16.82,0.02
2458896.83,r,LCOGT1m+Sinistro,16.41,0.05
2458896.83,r,LCOGT1m+Sinistro,16.42,0.03
2458896.83,i,LCOGT1m+Sinistro,16.74,0.04
2458896.83,i,LCOGT1m+Sinistro,16.82,0.04
2458898.66,r,LT+IOO,16.37,0.0
2458898.66,i,LT+IOO,16.8,0.0
2458898.66,g,LT+IOO,16.83,0.0
2458898.66,u,LT+IOO,18.77,0.04
2458900.95,r,P60+SEDM,16.43,0.01
2458900.95,g,P60+SEDM,17.06,0.02
2458900.95,i,P60+SEDM,16.68,0.02
2458904.8,u,LCOGT1m+Sinistro,19.25,0.11
2458904.81,g,LCOGT1m+Sinistro,17.27,0.04
