jd,filter,tag,mag,emag
2459370.78,sdssr,SEDM,19.07,0.3
2458210.83,ZTF_g,P48,18.83,0.27
2458315.82,ZTF_r,P48,20.3,0.35
2458376.67,ZTF_r,P48,20.24,0.29
2458541.93,ZTF_g,P48,20.73,0.3
2458598.75,ZTF_g,P48,20.93,0.28
2458606.8,ZTF_r,P48,20.7,0.3
2458612.83,ZTF_i,P48,20.2,0.28
2458695.8,ZTF_g,P48,18.05,0.18
2458856.05,ZTF_r,P48,20.64,0.29
2458865.01,ZTF_r,P48,20.58,0.28
2458875.99,ZTF_g,P48,20.83,0.31
2458876.95,ZTF_i,P48,20.88,0.31
2458890.82,ZTF_i,P48,19.92,0.32
2458991.87,ZTF_i,P48,20.8,0.34
2458992.71,ZTF_g,P48,21.15,0.32
2459015.88,ZTF_g,P48,20.55,0.3
2459025.76,ZTF_i,P48,20.51,0.22
2459031.78,ZTF_i,P48,20.46,0.3
2459037.8,ZTF_i,P48,20.25,0.29
2459044.76,ZTF_i,P48,20.24,0.25
2459075.77,ZTF_i,P48,20.15,0.24
2459080.74,ZTF_i,P48,20.41,0.35
2459267.94,ZTF_r,P48,19.8,0.19
2459278.89,ZTF_i,P48,20.14,0.34
2459281.77,ZTF_r,P48,18.48,0.3
2459310.91,ZTF_r,P48,20.42,0.19
2459312.86,ZTF_i,P48,20.33,0.36
2459336.77,ZTF_g,P48,19.9,0.13
2459336.78,ZTF_g,P48,19.8,0.12
2459336.83,ZTF_r,P48,20.33,0.18
2459336.85,ZTF_r,P48,19.99,0.15
2459336.88,ZTF_r,P48,20.11,0.19
2459336.92,ZTF_g,P48,19.87,0.17
2459337.9,ZTF_g,P48,19.19,0.11
2459337.98,ZTF_r,P48,20.12,0.27
2459338.78,ZTF_r,P48,20.87,0.31
2459338.85,ZTF_i,P48,20.12,0.34
2459338.91,ZTF_g,P48,19.63,0.1
2459338.93,ZTF_g,P48,19.96,0.15
2459338.96,ZTF_r,P48,19.86,0.16
2459339.74,ZTF_g,P48,20.07,0.13
2459339.8,ZTF_r,P48,19.65,0.1
2459339.8,ZTF_r,P48,19.73,0.1
2459339.85,ZTF_r,P48,19.75,0.12
2459339.87,ZTF_g,P48,20.04,0.13
2459340.81,ZTF_r,P48,20.23,0.2
2459340.85,ZTF_g,P48,20.22,0.15
2459340.88,ZTF_g,P48,20.22,0.17
2459340.9,ZTF_r,P48,20.13,0.19
2459341.69,ZTF_g,P48,20.53,0.2
2459341.72,ZTF_r,P48,20.12,0.16
2459341.86,ZTF_g,P48,20.64,0.27
2459341.94,ZTF_r,P48,20.24,0.22
2459342.85,ZTF_g,P48,21.0,0.31
2459342.91,ZTF_r,P48,20.47,0.21
2459342.96,ZTF_r,P48,20.33,0.19
2459343.79,ZTF_g,P48,20.8,0.27
2459343.82,ZTF_r,P48,20.18,0.18
