jd,filter,tag,mag,emag
2459357.42,sdssg,IOO,19.46,0.08
2459357.42,sdssr,IOO,19.81,0.09
2459357.42,sdssi,IOO,19.93,0.12
2459357.43,sdssu,IOO,18.97,0.12
2459357.43,sdssz,IOO,20.05,0.21
2459357.5,uvot::uvm2,UVOT,20.0,0.15
2459357.5,uvot::uvw1,UVOT,19.57,0.07
2459357.5,uvot::u,UVOT,19.04,0.08
2459357.5,uvot::b,UVOT,18.42,0.08
2459357.5,uvot::v,UVOT,17.96,0.23
2459357.62,sdssu,Sinistro,19.11,0.08
2459357.63,sdssg,Sinistro,19.31,0.11
2459357.63,sdssg,Sinistro,19.29,0.16
2459357.68,sdssg,SEDM,19.32,0.09
2459357.68,sdssr,SEDM,19.73,0.11
2459357.68,sdssi,SEDM,19.81,0.21
2459359.5,uvot::uvw1,UVOT,21.09,0.21
2459359.5,uvot::uvm2,UVOT,20.79,0.22
2459359.5,uvot::u,UVOT,19.7,0.13
2459359.5,uvot::b,UVOT,18.63,0.1
2459359.5,uvot::v,UVOT,17.8,0.15
2459359.96,sdssg,SEDM,19.67,0.11
2459359.96,sdssr,SEDM,19.55,0.07
2459359.96,sdssi,SEDM,19.39,0.07
2459360.5,uvot::uvm2,UVOT,21.81,0.32
2459360.5,uvot::uvw1,UVOT,21.04,0.24
2459360.5,uvot::u,UVOT,19.55,0.18
2459360.5,uvot::b,UVOT,18.5,0.16
2459360.5,uvot::v,UVOT,17.87,0.2
2459360.93,atlaso,ATLAS,19.19,0.19
2459360.94,atlaso,ATLAS,18.96,0.11
2459361.89,sdssg,Sinistro,19.28,0.2
2459361.89,sdssg,Sinistro,19.26,0.18
2459361.91,sdssg,Sinistro,19.44,0.2
2459361.91,sdssg,Sinistro,19.4,0.22
2459362.5,uvot::b,UVOT,18.54,0.18
2459362.5,uvot::v,UVOT,17.99,0.26
2459362.94,atlaso,ATLAS,19.04,0.18
2459363.5,uvot::uvm2,UVOT,21.89,0.26
2459363.5,uvot::uvw1,UVOT,21.33,0.33
2459363.5,uvot::u,UVOT,19.95,0.22
2459363.5,uvot::b,UVOT,18.88,0.2
2459363.5,uvot::v,UVOT,18.03,0.21
2459364.91,atlaso,ATLAS,19.31,0.15
2459364.95,atlaso,ATLAS,19.11,0.18
2459364.96,atlaso,ATLAS,18.88,0.15
2459368.88,atlaso,ATLAS,18.72,0.09
2459368.91,atlaso,ATLAS,18.76,0.1
2459368.91,atlaso,ATLAS,18.8,0.09
2459368.92,atlaso,ATLAS,18.7,0.1
2459370.87,atlasc,ATLAS,18.87,0.08
2459370.88,atlasc,ATLAS,18.91,0.07
2459370.91,atlasc,ATLAS,19.08,0.09
2459370.92,atlasc,ATLAS,19.39,0.1
2459370.92,atlasc,ATLAS,19.02,0.11
2459370.93,atlasc,ATLAS,19.23,0.1
2459372.94,atlaso,ATLAS,18.71,0.09
2459372.95,atlaso,ATLAS,18.5,0.08
2459372.95,atlaso,ATLAS,18.71,0.09
2459372.96,atlaso,ATLAS,18.72,0.09
2459374.87,atlasc,ATLAS,19.14,0.09
2459374.88,atlasc,ATLAS,19.29,0.12
2459374.88,atlasc,ATLAS,19.4,0.19
2459374.91,atlasc,ATLAS,19.13,0.1
2459374.91,atlasc,ATLAS,19.24,0.12
2459374.91,atlasc,ATLAS,19.21,0.08
2459376.95,atlaso,ATLAS,18.74,0.08
2459376.95,atlaso,ATLAS,18.8,0.11
2459376.96,atlaso,ATLAS,18.69,0.09
2459376.97,atlaso,ATLAS,18.7,0.1
2459378.88,atlasc,ATLAS,19.76,0.15
2459378.88,atlasc,ATLAS,19.51,0.12
2459378.91,atlasc,ATLAS,19.75,0.14
2459378.92,atlasc,ATLAS,19.66,0.14
2459382.85,atlaso,ATLAS,19.24,0.16
2459382.86,atlaso,ATLAS,19.12,0.11
2459382.86,atlaso,ATLAS,19.13,0.12
2459382.88,atlaso,ATLAS,19.28,0.15
2459384.88,atlaso,ATLAS,19.19,0.13
2459388.88,atlaso,ATLAS,18.81,0.15
2459388.88,atlaso,ATLAS,18.93,0.19
2459394.86,atlaso,ATLAS,19.37,0.13
2459398.84,atlaso,ATLAS,19.72,0.16
2459398.84,atlaso,ATLAS,19.74,0.17
2459398.85,atlaso,ATLAS,19.74,0.17
2459402.85,atlaso,ATLAS,19.66,0.15
2459402.86,atlaso,ATLAS,19.83,0.18
2459406.82,atlaso,ATLAS,19.95,0.19
2459406.82,atlaso,ATLAS,19.81,0.17
2459406.84,atlaso,ATLAS,19.89,0.2
2459410.82,atlaso,ATLAS,19.58,0.19
2459452.75,atlaso,ATLAS,19.56,0.21
2458288.8,ZTF_r,P48,21.46,0.35
2459356.82,ZTF_i,P48,20.44,0.26
2459356.89,ZTF_r,P48,20.07,0.15
2459356.93,ZTF_g,P48,19.69,0.07
2459358.77,ZTF_g,P48,19.69,0.16
2459358.8,ZTF_r,P48,19.51,0.13
2459358.85,ZTF_r,P48,19.42,0.1
2459358.85,ZTF_r,P48,19.63,0.13
2459358.85,ZTF_r,P48,19.49,0.12
2459358.85,ZTF_r,P48,19.35,0.1
2459358.86,ZTF_r,P48,19.44,0.11
2459358.93,ZTF_g,P48,19.51,0.15
2459358.93,ZTF_g,P48,19.74,0.18
2459359.86,ZTF_i,P48,19.38,0.13
2459359.92,ZTF_r,P48,19.47,0.13
2459359.95,ZTF_g,P48,19.9,0.22
2459361.81,ZTF_g,P48,19.69,0.14
2459361.87,ZTF_r,P48,19.34,0.09
2459361.91,ZTF_r,P48,19.33,0.1
2459362.8,ZTF_r,P48,19.17,0.07
2459362.8,ZTF_r,P48,19.22,0.07
2459362.81,ZTF_r,P48,19.36,0.08
2459362.81,ZTF_r,P48,19.31,0.07
2459362.87,ZTF_i,P48,19.44,0.11
2459363.78,ZTF_g,P48,19.85,0.11
2459363.86,ZTF_r,P48,19.31,0.06
2459365.8,ZTF_g,P48,19.48,0.05
2459365.8,ZTF_g,P48,19.62,0.05
2459365.84,ZTF_r,P48,18.97,0.04
2459365.85,ZTF_r,P48,19.03,0.05
2459365.87,ZTF_i,P48,19.21,0.09
2459367.79,ZTF_g,P48,19.44,0.05
2459367.87,ZTF_r,P48,18.8,0.04
2459368.82,ZTF_i,P48,18.7,0.05
2459369.82,ZTF_r,P48,18.74,0.03
2459369.86,ZTF_g,P48,19.38,0.05
2459371.8,ZTF_i,P48,18.63,0.04
2459371.83,ZTF_r,P48,18.69,0.03
2459371.87,ZTF_g,P48,19.35,0.05
2459374.74,ZTF_g,P48,19.6,0.06
2459375.7,ZTF_i,P48,18.58,0.04
2459376.8,ZTF_r,P48,18.8,0.03
2459376.85,ZTF_g,P48,19.87,0.06
2459378.72,ZTF_g,P48,20.32,0.12
2459378.76,ZTF_r,P48,18.96,0.04
2459378.79,ZTF_i,P48,18.68,0.04
2459380.85,ZTF_r,P48,19.01,0.06
2459381.84,ZTF_i,P48,18.98,0.07
2459382.81,ZTF_g,P48,20.65,0.2
2459382.82,ZTF_r,P48,19.31,0.06
2459384.83,ZTF_r,P48,19.66,0.11
2459386.72,ZTF_r,P48,19.66,0.15
2459387.76,ZTF_i,P48,19.22,0.11
2459390.8,ZTF_r,P48,19.89,0.15
2459390.85,ZTF_r,P48,19.87,0.16
2459390.85,ZTF_r,P48,19.79,0.14
2459391.84,ZTF_i,P48,19.51,0.14
2459392.85,ZTF_r,P48,19.89,0.15
2459394.72,ZTF_g,P48,21.57,0.34
2459394.76,ZTF_i,P48,19.53,0.1
2459394.79,ZTF_r,P48,19.94,0.14
2459396.79,ZTF_g,P48,21.35,0.31
2459396.83,ZTF_r,P48,19.99,0.1
2459397.83,ZTF_i,P48,19.6,0.12
2459399.72,ZTF_r,P48,20.16,0.11
2459399.76,ZTF_g,P48,21.2,0.24
2459400.74,ZTF_i,P48,19.75,0.13
2459401.75,ZTF_g,P48,20.98,0.23
2459401.79,ZTF_r,P48,20.11,0.11
2459403.72,ZTF_r,P48,20.23,0.12
2459404.7,ZTF_i,P48,19.61,0.1
2459405.7,ZTF_r,P48,20.41,0.15
2459405.72,ZTF_g,P48,21.43,0.31
2459407.7,ZTF_r,P48,20.4,0.13
2459407.72,ZTF_i,P48,19.75,0.1
2459408.74,ZTF_r,P48,20.17,0.14
2459409.7,ZTF_r,P48,20.43,0.15
2459409.74,ZTF_g,P48,21.02,0.23
2459410.7,ZTF_g,P48,21.39,0.34
2459410.74,ZTF_r,P48,20.67,0.23
2459410.83,ZTF_i,P48,19.86,0.16
2459411.72,ZTF_r,P48,20.35,0.18
2459415.7,ZTF_r,P48,20.93,0.29
2459415.73,ZTF_i,P48,19.75,0.13
2459422.82,ZTF_i,P48,19.93,0.19
2459424.71,ZTF_r,P48,20.9,0.21
2459424.71,ZTF_r,P48,21.08,0.24
2459425.71,ZTF_r,P48,21.32,0.31
2459425.71,ZTF_r,P48,21.44,0.35
2459426.75,ZTF_r,P48,21.03,0.29
2459427.7,ZTF_r,P48,20.92,0.22
2459430.69,ZTF_i,P48,20.09,0.15
2459434.68,ZTF_r,P48,20.97,0.22
2459434.69,ZTF_r,P48,21.44,0.34
2459436.7,ZTF_r,P48,21.27,0.29
2459454.67,ZTF_i,P48,20.45,0.26
2459459.66,ZTF_i,P48,20.74,0.33
2459462.67,ZTF_i,P48,20.8,0.33
2459489.64,ZTF_i,P48,20.51,0.34
2459356.93,o,P48,19.98,0.24
2459358.94,o,P48,19.31,0.12
2459360.94,o,P48,19.34,0.1
2459362.93,o,P48,19.28,0.13
2459364.94,o,P48,19.27,0.1
2459368.91,o,P48,18.74,0.05
2459370.91,c,P48,19.09,0.04
2459372.95,o,P48,18.66,0.05
2459374.89,c,P48,19.21,0.05
2459376.96,o,P48,18.73,0.05
2459378.9,c,P48,19.67,0.07
2459382.86,o,P48,19.18,0.07
2459384.86,o,P48,19.29,0.12
2459386.97,o,P48,19.37,0.17
2459388.88,o,P48,19.09,0.12
2459392.85,o,P48,19.6,0.14
2459394.86,o,P48,19.91,0.12
2459398.84,o,P48,19.75,0.09
2459402.85,o,P48,20.02,0.12
2459404.83,c,P48,20.8,0.26
2459406.82,o,P48,20.04,0.12
2459410.82,o,P48,20.13,0.13
2459412.81,o,P48,20.29,0.21
2459414.82,o,P48,20.42,0.27
2459418.83,o,P48,19.93,0.31
2459420.8,o,P48,20.18,0.24
2459422.82,o,P48,20.47,0.22
2459424.8,o,P48,20.62,0.25
2459426.79,c,P48,21.26,0.3
2459428.86,o,P48,20.37,0.28
