jd,filter,tag,mag,emag
2459293.89,atlaso,ATLAS,18.05,0.05
2459293.89,atlaso,ATLAS,18.04,0.05
2459293.89,atlaso,ATLAS,18.02,0.04
2459293.92,sdssg,Sinistro,17.68,0.1
2459293.92,sdssg,Sinistro,17.59,0.11
2459293.92,sdssu,Sinistro,17.44,0.08
2459293.92,atlaso,ATLAS,18.07,0.04
2459294.04,uvot::b,UVOT,17.42,0.14
2459294.04,uvot::uvw1,UVOT,17.06,0.05
2459294.04,uvot::u,UVOT,17.01,0.06
2459294.05,uvot::v,UVOT,17.33,0.22
2459294.05,uvot::uvm2,UVOT,16.96,0.04
2459294.37,uvot::uvw1,UVOT,17.13,0.05
2459294.38,uvot::v,UVOT,17.5,0.25
2459294.38,uvot::b,UVOT,17.29,0.12
2459294.38,uvot::uvm2,UVOT,17.13,0.04
2459294.38,uvot::u,UVOT,17.05,0.06
2459294.41,sdssg,Sinistro,17.5,0.06
2459294.41,sdssg,Sinistro,17.38,0.06
2459294.41,sdssu,Sinistro,17.32,0.05
2459294.41,sdssr,Sinistro,17.81,0.07
2459294.41,sdssr,Sinistro,17.8,0.04
2459294.41,sdssi,Sinistro,17.98,0.05
2459294.41,sdssi,Sinistro,17.97,0.04
2459294.67,sdssr,SEDM,17.68,0.04
2459294.67,sdssg,SEDM,17.58,0.03
2459294.67,sdssi,SEDM,17.8,0.03
2459294.94,uvot::uvm2,UVOT,17.62,0.04
2459294.94,uvot::uvw1,UVOT,17.53,0.05
2459294.94,uvot::v,UVOT,17.48,0.25
2459294.94,uvot::b,UVOT,17.34,0.13
2459294.94,uvot::u,UVOT,17.24,0.07
2459296.0,uvot::uvw1,UVOT,18.43,0.08
2459296.01,uvot::uvm2,UVOT,18.72,0.06
2459296.01,uvot::b,UVOT,17.73,0.18
2459296.01,uvot::u,UVOT,17.71,0.09
2459296.01,uvot::v,UVOT,17.26,0.21
2459297.09,uvot::uvw1,UVOT,19.72,0.2
2459297.1,uvot::uvm2,UVOT,20.43,0.17
2459297.1,uvot::u,UVOT,18.55,0.18
2459297.1,uvot::b,UVOT,18.21,0.28
2459297.72,sdssi,SEDM,18.05,0.05
2459297.86,atlaso,ATLAS,18.03,0.08
2459297.86,atlaso,ATLAS,18.09,0.08
2459297.87,atlaso,ATLAS,18.11,0.08
2459297.87,atlaso,ATLAS,18.04,0.09
2459298.78,uvot::u,UVOT,18.86,0.23
2459298.78,uvot::b,UVOT,18.37,0.33
2459298.79,uvot::uvm2,UVOT,21.2,0.3
2459298.79,uvot::v,UVOT,17.76,0.34
2459303.16,uvot::uvw1,UVOT,20.23,0.31
2459303.16,uvot::u,UVOT,18.34,0.16
2459303.16,uvot::b,UVOT,17.61,0.17
2459303.17,uvot::v,UVOT,17.74,0.34
2459303.64,uvot::uvw1,UVOT,20.36,0.35
2459303.64,uvot::u,UVOT,18.5,0.18
2459303.64,uvot::b,UVOT,17.9,0.22
2459303.65,uvot::v,UVOT,16.91,0.17
2459303.93,atlaso,ATLAS,17.29,0.09
2459303.94,atlaso,ATLAS,17.27,0.1
2459303.94,atlaso,ATLAS,17.27,0.1
2459303.98,atlaso,ATLAS,17.12,0.08
2459304.89,atlaso,ATLAS,17.15,0.03
2459304.89,atlaso,ATLAS,17.2,0.03
2459304.89,atlaso,ATLAS,17.01,0.05
2459304.9,atlaso,ATLAS,17.16,0.04
2459305.96,atlaso,ATLAS,17.12,0.03
2459306.0,atlaso,ATLAS,17.11,0.03
2459306.01,atlaso,ATLAS,17.08,0.03
2459306.01,atlaso,ATLAS,17.14,0.03
2459306.74,sdssr,SEDM,17.14,0.03
2459306.77,sdssg,SEDM,17.66,0.04
2459306.77,sdssr,SEDM,17.18,0.04
2459306.77,sdssi,SEDM,16.9,0.03
2459306.88,atlaso,ATLAS,17.11,0.03
2459306.89,atlaso,ATLAS,17.03,0.02
2459306.89,atlaso,ATLAS,17.04,0.03
2459306.89,atlaso,ATLAS,17.13,0.03
2459307.93,atlaso,ATLAS,17.02,0.04
2459307.94,atlaso,ATLAS,17.1,0.03
2459309.21,uvot::u,UVOT,18.93,0.25
2459309.21,uvot::b,UVOT,17.97,0.23
2459309.22,uvot::v,UVOT,17.23,0.22
2459309.94,atlasc,ATLAS,17.52,0.03
2459309.95,atlasc,ATLAS,17.54,0.03
2459309.96,atlasc,ATLAS,17.51,0.03
2459309.99,atlasc,ATLAS,17.47,0.02
2459313.92,atlasc,ATLAS,17.95,0.04
2459313.93,atlasc,ATLAS,17.86,0.04
2459313.94,atlasc,ATLAS,17.96,0.03
2459313.95,atlasc,ATLAS,18.06,0.04
2459316.9,sdssr,SEDM,17.73,0.06
2459317.52,sdssr,Sinistro,17.88,0.09
2459317.52,sdssr,Sinistro,17.86,0.06
2459317.52,sdssg,Sinistro,19.12,0.11
2459317.52,sdssg,Sinistro,19.03,0.12
2459317.52,sdssi,Sinistro,17.53,0.13
2459317.52,sdssi,Sinistro,17.53,0.09
2459317.96,atlasc,ATLAS,18.36,0.06
2459317.99,atlasc,ATLAS,18.47,0.06
2459318.0,atlasc,ATLAS,18.4,0.06
2459318.0,atlasc,ATLAS,18.49,0.07
2459319.91,atlaso,ATLAS,17.91,0.04
2459319.91,atlaso,ATLAS,17.99,0.06
2459319.92,atlaso,ATLAS,17.86,0.05
2459319.93,atlaso,ATLAS,17.82,0.05
2459321.88,atlasc,ATLAS,18.73,0.07
2459321.91,atlasc,ATLAS,18.7,0.06
2459321.93,atlasc,ATLAS,18.71,0.08
2459321.95,atlasc,ATLAS,18.64,0.07
2459323.82,atlaso,ATLAS,18.25,0.06
2459323.82,atlaso,ATLAS,18.19,0.06
2459323.83,atlaso,ATLAS,18.22,0.08
2459323.85,atlaso,ATLAS,18.1,0.05
2459324.93,atlaso,ATLAS,18.12,0.05
2459324.94,atlaso,ATLAS,18.2,0.05
2459324.95,atlaso,ATLAS,18.15,0.06
2459324.95,atlaso,ATLAS,18.2,0.06
2459332.92,atlaso,ATLAS,18.52,0.13
2459332.93,atlaso,ATLAS,18.48,0.11
2459332.93,atlaso,ATLAS,18.58,0.13
2459332.94,atlaso,ATLAS,18.55,0.12
2459333.9,atlaso,ATLAS,18.68,0.11
2459333.91,atlaso,ATLAS,18.37,0.09
2459333.94,atlaso,ATLAS,18.63,0.12
2459333.95,atlaso,ATLAS,18.55,0.11
2459335.83,atlaso,ATLAS,18.72,0.11
2459335.84,atlaso,ATLAS,18.41,0.09
2459335.84,atlaso,ATLAS,18.56,0.12
2459335.85,atlaso,ATLAS,18.68,0.16
2459335.85,atlaso,ATLAS,18.54,0.09
2459337.95,atlaso,ATLAS,18.72,0.1
2459337.96,atlaso,ATLAS,18.89,0.17
2459338.0,atlaso,ATLAS,18.96,0.16
2459340.21,sdssr,Sinistro,19.32,0.14
2459340.21,sdssr,Sinistro,19.26,0.13
2459340.21,sdssg,Sinistro,20.19,0.19
2459340.21,sdssg,Sinistro,20.11,0.2
2459340.21,sdssi,Sinistro,18.52,0.12
2459340.21,sdssi,Sinistro,18.52,0.11
2459343.83,atlasc,ATLAS,19.75,0.21
2459343.83,atlasc,ATLAS,19.6,0.19
2459343.84,atlasc,ATLAS,19.34,0.13
2459345.87,atlaso,ATLAS,19.14,0.14
2459345.87,atlaso,ATLAS,18.77,0.12
2459345.88,atlaso,ATLAS,18.94,0.1
2459345.9,atlaso,ATLAS,19.01,0.14
2459349.82,atlaso,ATLAS,18.9,0.13
2459349.83,atlaso,ATLAS,19.02,0.13
2459349.84,atlaso,ATLAS,19.2,0.16
2459349.85,atlaso,ATLAS,19.01,0.13
2459351.8,atlaso,ATLAS,18.95,0.16
2459351.81,atlaso,ATLAS,19.3,0.17
2459351.83,atlaso,ATLAS,19.15,0.18
2459351.89,atlaso,ATLAS,18.9,0.12
2459353.78,atlaso,ATLAS,19.02,0.13
2459353.79,atlaso,ATLAS,19.34,0.14
2459353.82,atlaso,ATLAS,19.28,0.18
2459353.85,atlaso,ATLAS,19.39,0.18
2459360.93,atlaso,ATLAS,19.12,0.17
2459363.83,atlaso,ATLAS,19.15,0.19
2459367.78,atlaso,ATLAS,19.4,0.17
2459367.82,atlaso,ATLAS,19.43,0.19
2459381.77,atlaso,ATLAS,19.32,0.17
2459388.76,atlaso,ATLAS,19.05,0.2
2459397.79,atlaso,ATLAS,19.54,0.18
2459293.74,ZTF_r,P48,18.22,0.03
2459293.79,ZTF_g,P48,17.75,0.02
2459295.84,ZTF_i,P48,17.86,0.03
2459296.85,ZTF_g,P48,18.13,0.03
2459296.86,ZTF_r,P48,17.94,0.03
2459298.8,ZTF_r,P48,17.89,0.06
2459298.84,ZTF_i,P48,18.08,0.18
2459298.89,ZTF_g,P48,18.27,0.06
2459302.76,ZTF_r,P48,17.35,0.03
2459302.76,ZTF_r,P48,17.36,0.03
2459302.79,ZTF_i,P48,17.38,0.04
2459302.85,ZTF_g,P48,17.64,0.04
2459303.79,ZTF_g,P48,17.7,0.04
2459303.85,ZTF_r,P48,17.26,0.02
