jd,filter,tag,mag,emag
2459488.63,sdssr,SEDM,19.68,0.05
2459497.76,sdssr,SEDM,18.48,0.03
2459488.63,sdssg,SEDM,19.75,0.03
2459488.63,sdssi,SEDM,19.65,0.05
2459509.88,sdssr,SEDM,18.44,0.06
2459506.74,sdssr,SEDM,18.43,0.11
2459509.92,sdssi,SEDM,18.34,0.05
2459509.92,sdssr,SEDM,18.48,0.03
2459509.91,sdssg,SEDM,19.01,0.09
2459515.35,sdssr,IOO,18.73,0.03
2459515.35,sdssi,IOO,18.74,0.05
2459486.78,ZTF_r,P48,19.15,0.05
2459487.76,ZTF_g,P48,19.54,0.07
2459487.76,ZTF_g,P48,19.54,0.07
2459487.78,ZTF_i,P48,19.73,0.16
2459488.76,ZTF_g,P48,19.79,0.06
2459488.81,ZTF_r,P48,19.6,0.07
2459489.73,ZTF_g,P48,19.75,0.08
2459489.73,ZTF_g,P48,19.73,0.08
2459489.78,ZTF_r,P48,19.45,0.08
2459490.83,ZTF_g,P48,19.65,0.06
2459491.72,ZTF_r,P48,19.05,0.05
2459491.73,ZTF_r,P48,19.06,0.04
2459491.79,ZTF_g,P48,19.55,0.06
2459491.79,ZTF_g,P48,19.57,0.06
2459494.8,ZTF_i,P48,18.8,0.08
2459497.82,ZTF_i,P48,18.75,0.07
2459498.72,ZTF_g,P48,18.75,0.03
2459502.74,ZTF_g,P48,18.67,0.05
2459502.74,ZTF_g,P48,18.66,0.05
2459502.77,ZTF_r,P48,18.25,0.03
2459502.77,ZTF_r,P48,18.24,0.04
2459502.78,ZTF_i,P48,18.54,0.07
2459503.67,ZTF_r,P48,18.2,0.04
2459503.73,ZTF_g,P48,18.66,0.05
2459504.74,ZTF_g,P48,18.65,0.05
2459504.74,ZTF_g,P48,18.67,0.06
2459504.81,ZTF_r,P48,18.27,0.08
2459505.64,ZTF_i,P48,18.48,0.08
2459505.69,ZTF_g,P48,18.73,0.09
2459505.74,ZTF_r,P48,18.19,0.05
2459509.78,ZTF_i,P48,18.58,0.06
2459510.75,ZTF_g,P48,18.99,0.06
2459510.75,ZTF_g,P48,19.06,0.07
2459510.8,ZTF_r,P48,18.45,0.12
2459512.66,ZTF_r,P48,18.39,0.02
2459512.69,ZTF_g,P48,19.33,0.06
2459512.73,ZTF_i,P48,18.54,0.05
2459517.64,ZTF_r,P48,18.67,0.03
2459517.64,ZTF_r,P48,18.77,0.03
2459517.71,ZTF_g,P48,19.72,0.05
2459517.71,ZTF_g,P48,19.8,0.06
2459517.8,ZTF_i,P48,18.72,0.05
2459520.71,ZTF_r,P48,18.97,0.05
2459520.78,ZTF_g,P48,20.04,0.09
2459520.82,ZTF_i,P48,18.9,0.07
2459522.71,ZTF_r,P48,19.09,0.05
2459522.71,ZTF_g,P48,20.09,0.09
2459523.67,ZTF_i,P48,19.37,0.09
2459524.65,ZTF_g,P48,20.37,0.11
2459526.66,ZTF_r,P48,19.25,0.05
2459526.69,ZTF_g,P48,20.48,0.11
2459526.78,ZTF_i,P48,19.35,0.1
2459529.67,ZTF_r,P48,19.39,0.06
2459529.74,ZTF_g,P48,20.36,0.18
2459529.79,ZTF_i,P48,19.64,0.18
2459530.73,ZTF_r,P48,19.6,0.11
2459531.66,ZTF_r,P48,19.55,0.11
2459531.67,ZTF_r,P48,19.75,0.14
2459532.62,ZTF_r,P48,19.66,0.11
2459532.66,ZTF_i,P48,19.54,0.15
2459532.68,ZTF_g,P48,20.49,0.32
2459537.8,ZTF_r,P48,19.73,0.25
2459537.81,ZTF_r,P48,19.54,0.2
2459538.68,ZTF_g,P48,20.72,0.33
2459538.74,ZTF_r,P48,19.73,0.14
2459540.67,ZTF_r,P48,19.86,0.16
2459542.62,ZTF_g,P48,20.89,0.21
2459542.67,ZTF_r,P48,19.98,0.1
2459543.64,ZTF_r,P48,20.2,0.18
2459543.64,ZTF_r,P48,20.06,0.17
2459543.65,ZTF_g,P48,20.65,0.21
2459550.61,ZTF_r,P48,20.25,0.14
2459486.83,o,P48,19.37,0.09
2459487.93,o,P48,19.98,0.15
2459488.91,o,P48,20.02,0.23
2459490.92,o,P48,19.39,0.11
2459492.92,o,P48,19.18,0.16
2459493.93,o,P48,18.91,0.09
2459494.89,o,P48,18.75,0.06
2459496.89,o,P48,18.59,0.06
2459497.96,o,P48,18.49,0.06
2459501.9,o,P48,18.33,0.05
2459508.87,o,P48,18.62,0.19
2459509.86,o,P48,18.5,0.1
2459510.86,o,P48,18.42,0.08
2459511.87,o,P48,18.55,0.06
2459512.87,o,P48,18.64,0.07
2459513.86,o,P48,18.65,0.06
2459515.87,c,P48,19.06,0.06
2459516.92,o,P48,18.93,0.08
2459517.85,o,P48,18.91,0.06
2459518.85,c,P48,19.35,0.07
2459519.85,c,P48,19.54,0.09
2459520.85,o,P48,19.34,0.11
2459522.84,c,P48,19.82,0.17
2459524.8,o,P48,19.38,0.12
2459526.8,c,P48,20.26,0.21
2459528.83,o,P48,19.4,0.17
2459538.86,o,P48,19.63,0.28
2459541.76,o,P48,20.02,0.2
2459542.76,o,P48,19.96,0.18
2459543.79,o,P48,20.03,0.19
2459545.81,o,P48,20.47,0.35
2459546.83,o,P48,20.59,0.27
2459551.77,o,P48,20.34,0.26
