jd,filter,tag,mag,emag
2459442.94,sdssr,SEDM,18.75,0.24
2459454.71,sdssr,SEDM,18.66,0.13
2459467.67,sdssr,SEDM,18.87,0.43
2459467.7,sdssg,SEDM,19.27,0.15
2459467.71,sdssr,SEDM,19.04,0.53
2459467.71,sdssi,SEDM,18.8,0.24
2459491.64,sdssg,SEDM,19.6,0.1
2459491.65,sdssi,SEDM,18.98,0.19
2459491.65,sdssr,SEDM,19.23,0.5
2459498.61,sdssr,SEDM,19.18,0.57
2459498.64,sdssg,SEDM,19.47,0.51
2459498.65,sdssr,SEDM,19.1,0.65
2459498.65,sdssi,SEDM,18.9,0.26
2459502.82,sdssr,SEDM,19.04,0.4
2459502.85,sdssg,SEDM,19.38,0.23
2459502.86,sdssr,SEDM,18.99,0.45
2459502.86,sdssi,SEDM,18.89,0.67
2459509.63,sdssr,SEDM,19.05,0.66
2459509.67,sdssg,SEDM,19.28,0.3
2459509.67,sdssr,SEDM,18.95,0.26
2459509.67,sdssi,SEDM,18.84,0.28
2459517.85,sdssr,SEDM,19.01,0.97
2459517.88,sdssg,SEDM,19.26,0.32
2459517.88,sdssr,SEDM,19.06,0.69
2459517.89,sdssi,SEDM,18.88,0.62
2459536.66,sdssr,SEDM,18.81,0.24
2459536.69,sdssg,SEDM,19.15,0.28
2459536.69,sdssr,SEDM,19.05,0.71
2459536.69,sdssi,SEDM,18.89,0.51
2459547.66,sdssr,SEDM,19.05,0.4
2459547.69,sdssg,SEDM,19.26,0.39
2459547.69,sdssr,SEDM,19.2,0.29
2459547.7,sdssi,SEDM,18.96,0.18
2459561.67,sdssr,SEDM,19.26,0.34
2459561.7,sdssg,SEDM,19.51,0.2
2459561.7,sdssr,SEDM,19.39,0.53
2459561.71,sdssi,SEDM,19.19,0.59
2459585.59,sdssr,SEDM,19.51,0.52
2459585.63,sdssr,SEDM,19.53,0.36
2459585.63,sdssg,SEDM,19.65,0.67
2459585.63,sdssi,SEDM,19.4,0.23
2459599.63,sdssr,SEDM,20.09,0.26
2459599.66,sdssg,SEDM,20.2,0.19
2459599.66,sdssr,SEDM,20.22,0.2
2459599.66,sdssi,SEDM,20.17,1.19
2459600.64,sdssr,SEDM,20.01,0.38
2459600.67,sdssg,SEDM,20.14,0.14
2459600.68,sdssr,SEDM,20.13,0.24
2459600.68,sdssi,SEDM,19.94,0.22
2459608.64,sdssr,SEDM,20.09,0.23
2459611.34,sdssg,IOO,20.23,0.12
2459611.35,sdssr,IOO,20.18,0.13
2459611.35,sdssi,IOO,20.05,0.15
2459611.35,sdssz,IOO,19.91,0.28
2459620.62,sdssr,SEDM,20.49,0.31
2459401.94,ZTF_r,P48,20.94,0.27
2459403.9,ZTF_g,P48,21.17,0.32
2459403.92,ZTF_r,P48,20.61,0.18
2459405.93,ZTF_r,P48,20.33,0.17
2459405.96,ZTF_g,P48,21.35,0.35
2459408.91,ZTF_i,P48,20.34,0.26
2459408.95,ZTF_r,P48,20.06,0.2
2459411.92,ZTF_g,P48,20.69,0.2
2459411.94,ZTF_i,P48,20.37,0.24
2459411.96,ZTF_r,P48,19.81,0.08
2459414.92,ZTF_g,P48,20.24,0.11
2459414.96,ZTF_r,P48,19.85,0.08
2459416.92,ZTF_r,P48,19.86,0.32
2459418.9,ZTF_r,P48,19.64,0.23
2459422.91,ZTF_r,P48,19.35,0.12
2459422.97,ZTF_g,P48,20.3,0.3
2459426.97,ZTF_g,P48,19.64,0.12
2459426.98,ZTF_g,P48,19.54,0.1
2459427.9,ZTF_i,P48,19.21,0.08
2459429.9,ZTF_r,P48,19.08,0.05
2459429.95,ZTF_g,P48,19.42,0.06
2459430.89,ZTF_r,P48,19.06,0.04
2459430.95,ZTF_i,P48,19.14,0.07
2459430.96,ZTF_g,P48,19.26,0.05
2459434.87,ZTF_r,P48,18.98,0.04
2459434.9,ZTF_i,P48,19.08,0.07
2459436.88,ZTF_r,P48,18.89,0.03
2459436.92,ZTF_g,P48,19.05,0.04
2459438.94,ZTF_i,P48,18.83,0.06
2459439.92,ZTF_g,P48,19.01,0.05
2459439.96,ZTF_r,P48,18.78,0.03
2459442.92,ZTF_r,P48,18.73,0.04
2459442.96,ZTF_g,P48,18.86,0.04
2459443.93,ZTF_i,P48,18.7,0.05
2459446.88,ZTF_r,P48,18.65,0.06
2459446.88,ZTF_r,P48,18.64,0.06
2459446.97,ZTF_g,P48,18.84,0.03
2459446.98,ZTF_g,P48,18.84,0.03
2459447.76,ZTF_i,P48,18.61,0.12
2459449.76,ZTF_g,P48,18.65,0.14
2459449.76,ZTF_g,P48,18.68,0.13
2459449.86,ZTF_r,P48,18.09,0.09
2459450.88,ZTF_r,P48,18.59,0.15
2459450.92,ZTF_g,P48,18.73,0.2
2459450.97,ZTF_i,P48,18.75,0.17
2459453.84,ZTF_r,P48,18.47,0.04
2459453.89,ZTF_g,P48,18.7,0.05
2459453.89,ZTF_g,P48,18.68,0.05
2459453.9,ZTF_i,P48,18.62,0.05
2459453.97,ZTF_r,P48,18.55,0.04
2459454.88,ZTF_g,P48,18.53,0.04
2459454.92,ZTF_r,P48,18.5,0.04
2459458.82,ZTF_i,P48,18.7,0.06
2459458.86,ZTF_r,P48,18.63,0.03
2459458.86,ZTF_r,P48,18.61,0.03
2459459.85,ZTF_g,P48,18.87,0.04
2459459.86,ZTF_r,P48,18.67,0.03
2459460.87,ZTF_r,P48,18.73,0.03
2459460.87,ZTF_r,P48,18.71,0.03
2459460.91,ZTF_g,P48,18.85,0.03
2459460.91,ZTF_g,P48,18.88,0.03
2459461.85,ZTF_i,P48,18.79,0.05
2459461.88,ZTF_r,P48,18.73,0.03
2459461.91,ZTF_g,P48,18.9,0.04
2459462.84,ZTF_g,P48,18.98,0.04
2459462.85,ZTF_g,P48,19.0,0.04
2459462.88,ZTF_r,P48,18.72,0.03
2459462.88,ZTF_r,P48,18.71,0.03
2459463.87,ZTF_g,P48,18.99,0.04
2459463.88,ZTF_r,P48,18.74,0.03
2459464.86,ZTF_i,P48,18.84,0.06
2459464.88,ZTF_r,P48,18.76,0.03
2459464.88,ZTF_r,P48,18.75,0.03
