jd,filter,tag,mag,emag
2458936.88,ZTF_i,P48,21.68,0.35
2459309.96,ZTF_r,P48,20.48,0.23
2459310.76,ZTF_g,P48,19.58,0.06
2459310.8,ZTF_r,P48,19.84,0.07
2459310.86,ZTF_g,P48,19.29,0.32
2459310.9,ZTF_r,P48,19.74,0.07
2459311.68,ZTF_r,P48,19.88,0.14
2459311.74,ZTF_g,P48,19.5,0.07
2459311.74,ZTF_g,P48,19.45,0.06
2459311.77,ZTF_i,P48,19.91,0.14
2459311.79,ZTF_g,P48,19.51,0.08
2459311.8,ZTF_r,P48,19.7,0.09
2459311.83,ZTF_r,P48,19.79,0.07
2459312.75,ZTF_g,P48,19.78,0.09
2459312.78,ZTF_r,P48,19.74,0.07
2459312.84,ZTF_g,P48,19.77,0.07
2459312.88,ZTF_r,P48,19.74,0.07
2459313.75,ZTF_g,P48,19.94,0.08
2459313.76,ZTF_g,P48,19.77,0.09
2459313.78,ZTF_g,P48,19.83,0.07
2459313.8,ZTF_r,P48,19.78,0.1
2459313.81,ZTF_r,P48,19.82,0.08
2459313.84,ZTF_r,P48,19.71,0.07
2459314.76,ZTF_r,P48,19.88,0.07
2459314.79,ZTF_r,P48,19.85,0.07
2459314.88,ZTF_g,P48,20.07,0.08
2459315.7,ZTF_g,P48,20.25,0.09
2459315.74,ZTF_r,P48,19.8,0.07
2459316.81,ZTF_r,P48,19.84,0.06
2459316.82,ZTF_g,P48,20.29,0.09
2459316.86,ZTF_g,P48,20.29,0.09
2459317.71,ZTF_r,P48,19.84,0.07
2459317.74,ZTF_g,P48,20.22,0.08
2459317.77,ZTF_g,P48,20.33,0.09
2459317.78,ZTF_g,P48,20.31,0.08
2459317.8,ZTF_i,P48,19.68,0.11
2459317.83,ZTF_r,P48,19.8,0.08
2459319.73,ZTF_r,P48,19.8,0.08
2459319.76,ZTF_g,P48,20.32,0.13
2459319.86,ZTF_r,P48,19.81,0.08
2459319.91,ZTF_g,P48,20.29,0.15
2459321.77,ZTF_g,P48,20.54,0.13
2459321.78,ZTF_r,P48,19.69,0.05
2459321.8,ZTF_r,P48,19.74,0.06
2459321.86,ZTF_g,P48,20.5,0.11
2459321.87,ZTF_g,P48,20.5,0.11
2459322.75,ZTF_r,P48,19.83,0.09
2459322.79,ZTF_r,P48,19.73,0.08
2459322.82,ZTF_g,P48,20.83,0.21
2459323.77,ZTF_g,P48,20.9,0.23
2459323.82,ZTF_r,P48,19.94,0.09
2459323.84,ZTF_r,P48,19.92,0.09
2459323.86,ZTF_r,P48,19.81,0.08
2459325.77,ZTF_r,P48,20.05,0.12
2459336.82,ZTF_r,P48,20.98,0.17
2459338.75,ZTF_r,P48,21.6,0.34
2459338.76,ZTF_r,P48,20.89,0.19
2459340.8,ZTF_r,P48,21.3,0.26
2459340.8,ZTF_r,P48,21.09,0.21
2459341.73,ZTF_r,P48,21.33,0.25
2459342.7,ZTF_i,P48,20.53,0.23
2459342.8,ZTF_r,P48,21.56,0.3
2459342.8,ZTF_r,P48,21.2,0.25
2458494.12,o,P48,21.04,0.35
2458520.1,c,P48,21.58,0.34
2459059.79,o,P48,20.21,0.29
2459210.13,o,P48,20.66,0.27
2459309.97,c,P48,20.38,0.14
2459313.96,c,P48,19.95,0.11
2459317.96,c,P48,20.15,0.13
2459319.88,o,P48,19.48,0.09
2459321.96,c,P48,20.04,0.12
2459323.86,o,P48,19.7,0.12
2459333.96,o,P48,19.85,0.17
2459338.03,o,P48,20.39,0.26
2459340.03,o,P48,20.54,0.32
2459347.91,c,P48,20.84,0.26
2459349.83,o,P48,20.4,0.21
2459391.78,o,P48,20.67,0.31
2459754.84,c,P48,20.91,0.31
