jd,filter,tag,mag,emag
2459230.95,sdssr,SEDM,18.25,0.1
2459230.99,sdssg,SEDM,18.36,0.04
2459227.96,sdssi,SEDM,18.38,0.05
2459230.99,sdssr,SEDM,18.15,0.03
2459230.99,sdssi,SEDM,18.27,0.05
2459227.96,sdssg,SEDM,18.5,0.04
2459227.96,sdssr,SEDM,18.31,0.05
2458242.81,ZTF_r,P48,21.01,0.33
2458257.83,ZTF_r,P48,21.58,0.35
2458280.69,ZTF_r,P48,21.42,0.32
2458575.88,ZTF_r,P48,20.16,0.35
2458598.89,ZTF_r,P48,21.46,0.35
2458632.76,ZTF_r,P48,21.22,0.32
2458666.76,ZTF_r,P48,21.65,0.36
2458962.82,ZTF_r,P48,21.11,0.32
2458965.85,ZTF_r,P48,21.55,0.34
2458968.91,ZTF_r,P48,21.61,0.34
2459019.73,ZTF_r,P48,21.52,0.32
2459022.73,ZTF_r,P48,21.49,0.26
2459049.69,ZTF_g,P48,21.47,0.3
2459074.68,ZTF_r,P48,21.12,0.34
2459224.01,ZTF_r,P48,19.02,0.07
2459224.03,ZTF_g,P48,18.76,0.04
2459224.03,ZTF_g,P48,18.82,0.04
2459224.97,ZTF_i,P48,19.2,0.18
2459225.01,ZTF_r,P48,19.3,0.08
2459225.03,ZTF_g,P48,19.14,0.05
2459225.03,ZTF_g,P48,19.14,0.05
2459227.01,ZTF_r,P48,18.49,0.04
2459227.03,ZTF_g,P48,18.43,0.03
2459227.99,ZTF_g,P48,18.26,0.03
2459228.03,ZTF_i,P48,18.5,0.07
2459228.99,ZTF_r,P48,18.17,0.03
2459229.01,ZTF_g,P48,18.09,0.02
2459229.01,ZTF_g,P48,18.1,0.02
2459230.98,ZTF_g,P48,18.16,0.02
2459231.0,ZTF_g,P48,18.17,0.03
2459231.05,ZTF_r,P48,18.13,0.03
2459231.06,ZTF_r,P48,18.09,0.02
2459232.02,ZTF_i,P48,18.15,0.04
2459232.05,ZTF_g,P48,18.24,0.02
2459233.02,ZTF_r,P48,18.06,0.02
2459233.02,ZTF_r,P48,18.1,0.02
2459233.05,ZTF_g,P48,18.18,0.02
2459233.06,ZTF_g,P48,18.18,0.02
2459249.98,ZTF_i,P48,18.7,0.09
2459250.0,ZTF_r,P48,19.01,0.06
2459250.04,ZTF_g,P48,19.89,0.11
2459250.99,ZTF_g,P48,20.02,0.12
2459251.93,ZTF_g,P48,20.09,0.11
2459251.99,ZTF_r,P48,19.25,0.07
2459252.91,ZTF_i,P48,18.89,0.07
2459254.01,ZTF_r,P48,19.11,0.05
2459254.03,ZTF_g,P48,20.18,0.09
2459255.03,ZTF_g,P48,20.22,0.23
2459255.93,ZTF_r,P48,19.39,0.05
2459256.01,ZTF_i,P48,19.15,0.08
2459257.02,ZTF_g,P48,20.24,0.09
2459259.02,ZTF_g,P48,20.34,0.11
2459262.89,ZTF_i,P48,19.26,0.15
2459264.02,ZTF_g,P48,20.67,0.22
2459265.84,ZTF_i,P48,19.51,0.18
2459265.86,ZTF_r,P48,20.01,0.17
2459265.93,ZTF_g,P48,21.06,0.33
2459267.89,ZTF_g,P48,20.79,0.36
2459267.93,ZTF_r,P48,19.87,0.11
2459268.91,ZTF_i,P48,19.66,0.13
2459269.89,ZTF_r,P48,19.99,0.17
2459269.95,ZTF_g,P48,20.77,0.29
2459271.95,ZTF_r,P48,20.1,0.25
2459273.97,ZTF_r,P48,19.73,0.24
2459275.93,ZTF_r,P48,20.55,0.34
2459275.93,ZTF_r,P48,20.21,0.26
2459276.96,ZTF_g,P48,20.8,0.35
2459276.96,ZTF_i,P48,19.82,0.21
2459278.99,ZTF_r,P48,20.68,0.24
2459278.99,ZTF_r,P48,20.56,0.2
2459280.85,ZTF_i,P48,19.83,0.2
2459280.92,ZTF_g,P48,21.25,0.33
2459280.93,ZTF_r,P48,20.51,0.3
2459290.89,ZTF_r,P48,21.12,0.26
2459292.89,ZTF_r,P48,21.01,0.23
2459292.93,ZTF_g,P48,21.78,0.34
2459295.91,ZTF_r,P48,20.94,0.29
2459295.91,ZTF_r,P48,20.82,0.23
2459308.94,ZTF_r,P48,21.27,0.3
2459309.84,ZTF_g,P48,21.54,0.33
2459309.84,ZTF_g,P48,21.56,0.34
2459310.91,ZTF_r,P48,21.09,0.33
2459311.97,ZTF_r,P48,21.44,0.3
2459312.89,ZTF_r,P48,21.09,0.32
2459316.91,ZTF_r,P48,21.31,0.24
2459317.92,ZTF_r,P48,21.03,0.19
2459317.92,ZTF_r,P48,21.24,0.22
2459321.91,ZTF_r,P48,21.55,0.33
2459338.78,ZTF_r,P48,21.42,0.34
2459340.83,ZTF_r,P48,21.39,0.28
2459340.85,ZTF_g,P48,21.76,0.34
2459340.91,ZTF_r,P48,21.37,0.33
2459342.84,ZTF_g,P48,21.75,0.35
2459342.9,ZTF_r,P48,21.59,0.33
2459342.92,ZTF_r,P48,21.62,0.3
2459344.9,ZTF_r,P48,21.44,0.29
2459369.82,ZTF_r,P48,21.5,0.27
2459371.83,ZTF_r,P48,21.28,0.24
2459393.74,ZTF_r,P48,21.58,0.35
2459400.71,ZTF_r,P48,21.45,0.35
2459402.73,ZTF_r,P48,21.52,0.33
2459409.7,ZTF_r,P48,21.38,0.33
2459423.69,ZTF_i,P48,20.84,0.34
2459430.72,ZTF_r,P48,21.23,0.34
2459671.98,ZTF_r,P48,21.43,0.31
2459674.94,ZTF_r,P48,21.39,0.35
2459677.9,ZTF_r,P48,21.21,0.34
2459702.77,ZTF_r,P48,21.14,0.29
2459702.84,ZTF_r,P48,21.57,0.31
2459736.82,ZTF_i,P48,20.7,0.31
2458990.88,o,P48,20.95,0.35
2459227.15,c,P48,18.52,0.03
2459229.17,c,P48,18.26,0.04
2459231.14,c,P48,18.22,0.03
2459239.11,c,P48,18.38,0.03
2459243.15,o,P48,18.43,0.07
2459245.16,o,P48,18.65,0.09
2459246.09,o,P48,18.72,0.07
2459247.14,o,P48,18.71,0.06
2459253.15,o,P48,19.2,0.09
2459255.14,c,P48,19.79,0.1
2459257.07,c,P48,19.92,0.11
2459259.11,c,P48,20.16,0.13
2459263.03,c,P48,20.46,0.17
2459271.12,o,P48,19.5,0.15
2459277.15,o,P48,20.56,0.34
