jd,filter,tag,mag,emag
2459755.86,ZTF_r,P48,19.34,0.07
2459755.91,ZTF_g,P48,19.17,0.04
2459755.93,ZTF_g,P48,19.18,0.04
2459755.95,ZTF_r,P48,19.34,0.06
2459757.88,ZTF_g,P48,19.93,0.08
2459757.88,ZTF_g,P48,20.14,0.12
2459757.91,ZTF_g,P48,20.12,0.1
2459757.93,ZTF_g,P48,19.97,0.08
2459759.91,ZTF_r,P48,19.71,0.08
2459759.91,ZTF_r,P48,19.7,0.07
2459759.95,ZTF_g,P48,19.98,0.08
2459759.95,ZTF_g,P48,20.08,0.09
2459762.86,ZTF_g,P48,19.95,0.09
2459762.89,ZTF_r,P48,19.42,0.06
2459763.85,ZTF_r,P48,19.22,0.06
2459764.88,ZTF_r,P48,19.2,0.05
2459764.93,ZTF_g,P48,19.86,0.07
2459765.87,ZTF_r,P48,19.2,0.05
2459765.91,ZTF_g,P48,19.9,0.06
2459766.89,ZTF_r,P48,19.22,0.05
2459766.93,ZTF_g,P48,19.97,0.08
2459768.89,ZTF_g,P48,20.05,0.08
2459768.96,ZTF_g,P48,20.09,0.07
2459769.86,ZTF_g,P48,20.31,0.14
2459769.93,ZTF_g,P48,20.38,0.12
2459770.91,ZTF_g,P48,20.39,0.11
2459770.95,ZTF_g,P48,20.35,0.1
2459771.91,ZTF_g,P48,20.47,0.19
2459771.95,ZTF_g,P48,20.5,0.14
2459772.89,ZTF_r,P48,19.64,0.12
2459772.95,ZTF_r,P48,19.6,0.1
2459773.87,ZTF_r,P48,19.67,0.16
2459773.91,ZTF_r,P48,19.68,0.16
2458619.1,o,P48,19.26,0.15
2458622.99,o,P48,18.81,0.29
2459756.09,o,P48,19.21,0.1
2459757.07,o,P48,19.63,0.13
2459758.06,c,P48,19.96,0.14
2459759.01,c,P48,20.13,0.21
2459759.91,o,P48,19.81,0.2
2459762.01,o,P48,19.5,0.16
2459766.01,o,P48,19.07,0.08
2459767.01,c,P48,19.48,0.1
2459769.04,o,P48,19.19,0.08
2459770.01,c,P48,19.51,0.14
2459770.11,o,P48,19.5,0.15
2459771.04,o,P48,19.4,0.11
2459772.02,o,P48,19.53,0.25
2459772.99,o,P48,19.33,0.2
