jd,filter,tag,mag,emag
2459771.81,sdssr,SEDM,17.38,0.02
2459771.83,sdssg,SEDM,17.09,0.03
2459771.84,sdssr,SEDM,17.4,0.02
2459771.84,sdssi,SEDM,17.7,0.03
2459772.04,uvot::uvw1,UVOT,18.57,0.04
2459772.04,uvot::u,UVOT,18.52,0.04
2459772.04,uvot::b,UVOT,18.44,0.06
2459772.05,uvot::uvm2,UVOT,18.43,0.03
2459772.05,uvot::v,UVOT,18.19,0.11
2459772.39,sdssg,IOO,16.97,0.08
2459772.39,sdssr,IOO,17.21,0.05
2459772.39,sdssi,IOO,17.55,0.07
2459772.39,sdssu,IOO,16.7,0.06
2459772.39,sdssz,IOO,17.8,0.09
2459772.68,sdssu,SEDM,16.91,0.16
2459772.68,sdssg,SEDM,17.06,0.02
2459772.68,sdssr,SEDM,17.15,0.05
2459772.68,sdssi,SEDM,17.35,0.02
2459772.71,sdssr,SEDM,17.22,0.02
2459772.77,uvot::uvw1,UVOT,18.89,0.06
2459772.77,uvot::u,UVOT,18.44,0.08
2459772.77,uvot::b,UVOT,17.74,0.21
2459773.17,uvot::uvw1,UVOT,19.58,0.05
2459773.17,uvot::u,UVOT,18.93,0.06
2459773.18,uvot::uvm2,UVOT,19.99,0.05
2459773.18,uvot::b,UVOT,18.7,0.07
2459773.18,uvot::v,UVOT,18.09,0.11
2459773.39,sdssg,IOO,17.16,0.06
2459773.39,sdssr,IOO,17.22,0.05
2459773.39,sdssi,IOO,17.42,0.09
2459773.39,sdssu,IOO,17.25,0.04
2459773.4,sdssz,IOO,17.59,0.11
2459773.68,sdssr,SEDM,17.05,0.01
2459773.7,sdssg,SEDM,17.06,0.02
2459773.97,uvot::uvw1,UVOT,19.84,0.07
2459773.98,uvot::u,UVOT,18.87,0.08
2459774.3,uvot::uvw1,UVOT,19.98,0.06
2459774.3,uvot::u,UVOT,19.06,0.06
2459774.3,uvot::b,UVOT,18.71,0.06
2459774.31,uvot::uvm2,UVOT,20.59,0.06
2459774.31,uvot::v,UVOT,18.16,0.09
2459774.39,sdssg,IOO,16.91,0.06
2459774.39,sdssr,IOO,16.91,0.06
2459774.39,sdssi,IOO,17.13,0.08
2459774.39,sdssu,IOO,17.16,0.07
2459774.39,sdssz,IOO,17.24,0.08
2459774.72,sdssr,SEDM,16.77,0.01
2459774.74,uvot::uvm2,UVOT,20.46,0.08
2459774.74,uvot::uvw1,UVOT,19.81,0.08
2459774.74,uvot::u,UVOT,18.8,0.07
2459774.74,uvot::b,UVOT,18.48,0.07
2459774.74,uvot::v,UVOT,17.84,0.11
2459774.74,sdssg,SEDM,16.9,0.03
2459774.75,sdssr,SEDM,16.76,0.02
2459774.75,sdssr,SEDM,16.81,0.02
2459774.75,sdssi,SEDM,16.93,0.02
2459775.26,uvot::uvw1,UVOT,20.19,0.06
2459775.26,uvot::u,UVOT,19.28,0.04
2459775.26,uvot::b,UVOT,18.88,0.04
2459775.27,uvot::v,UVOT,18.37,0.06
2459775.28,uvot::uvm2,UVOT,21.22,0.05
2459775.39,sdssg,IOO,16.7,0.05
2459775.39,sdssr,IOO,16.68,0.05
2459775.39,sdssi,IOO,16.86,0.07
2459775.39,sdssu,IOO,17.08,0.04
2459775.39,sdssz,IOO,17.03,0.07
2459776.39,sdssg,IOO,16.63,0.05
2459776.39,sdssr,IOO,16.58,0.05
2459776.39,sdssi,IOO,16.75,0.05
2459776.39,sdssz,IOO,16.87,0.07
2459776.55,uvot::uvw1,UVOT,20.75,0.04
2459776.55,uvot::u,UVOT,19.52,0.04
2459776.55,uvot::b,UVOT,19.11,0.03
2459776.56,uvot::uvm2,UVOT,21.39,0.06
2459776.56,uvot::v,UVOT,18.52,0.05
2459777.39,sdssg,IOO,16.63,0.05
2459777.39,sdssr,IOO,16.54,0.05
2459777.39,sdssi,IOO,16.71,0.06
2459777.39,sdssz,IOO,16.8,0.07
2459777.62,uvot::uvm2,UVOT,20.25,0.23
2459777.62,uvot::v,UVOT,17.28,0.12
2459777.68,sdssr,SEDM,16.47,0.01
2459777.7,sdssu,SEDM,17.26,0.1
2459777.7,sdssi,SEDM,16.54,0.02
2459777.81,uvot::uvw1,UVOT,20.5,0.07
2459777.81,uvot::u,UVOT,19.29,0.05
2459777.81,uvot::b,UVOT,18.76,0.05
2459778.41,sdssg,IOO,16.63,0.03
2459778.41,sdssr,IOO,16.5,0.04
2459778.41,sdssi,IOO,16.65,0.05
2459778.41,sdssz,IOO,16.77,0.07
2459778.68,sdssr,SEDM,16.45,0.01
2459778.71,sdssg,SEDM,16.67,0.02
2459778.71,sdssr,SEDM,16.43,0.02
2459778.71,sdssi,SEDM,16.53,0.02
2459779.17,uvot::uvw1,UVOT,20.56,0.08
2459779.17,uvot::u,UVOT,19.34,0.05
2459779.17,uvot::b,UVOT,18.8,0.05
2459779.17,uvot::v,UVOT,18.23,0.07
2459779.18,uvot::uvm2,UVOT,21.45,0.1
2459779.76,sdssg,KAIT,16.76,0.03
2459779.77,sdssr,KAIT,16.43,0.04
2459779.77,sdssi,KAIT,16.6,0.04
2459779.78,uvot::uvm2,UVOT,21.85,0.08
2459779.78,uvot::uvw1,UVOT,20.92,0.06
2459779.78,uvot::u,UVOT,19.66,0.04
2459779.78,uvot::b,UVOT,19.05,0.04
2459779.78,uvot::v,UVOT,18.39,0.05
2459780.46,sdssg,IOO,16.6,0.04
2459780.46,sdssr,IOO,16.41,0.05
2459780.46,sdssi,IOO,16.55,0.06
2459780.47,sdssz,IOO,16.65,0.09
2459780.67,sdssr,SEDM,16.38,0.01
2459780.7,sdssu,SEDM,17.48,0.16
2459780.7,sdssi,SEDM,16.39,0.02
2459782.45,sdssg,IOO,16.6,0.04
2459782.45,sdssr,IOO,16.35,0.05
2459782.45,sdssz,IOO,16.56,0.05
2459782.71,sdssi,SEDM,16.34,0.02
2459782.71,sdssu,SEDM,17.6,0.18
2459783.62,uvot::uvw1,UVOT,20.84,0.1
