jd,filter,tag,mag,emag
2459708.87,sdssg,SEDM,18.49,0.04
2459708.87,sdssr,SEDM,18.11,0.03
2459708.88,sdssi,SEDM,18.11,0.04
2459711.52,sdssz,IOO,18.33,0.08
2459711.52,sdssi,IOO,18.09,0.08
2459711.52,sdssr,IOO,18.04,0.05
2459711.52,sdssg,IOO,18.24,0.04
2459708.39,sdssz,IOO,18.49,0.1
2459708.39,sdssi,IOO,18.35,0.07
2459708.39,sdssr,IOO,18.27,0.06
2459708.39,sdssg,IOO,18.51,0.03
2459713.73,sdssr,SEDM,17.9,0.04
2459713.76,sdssg,SEDM,18.21,0.08
2459713.76,sdssr,SEDM,17.9,0.03
2459713.77,sdssi,SEDM,17.94,0.04
2459719.43,sdssr,IOO,18.18,0.06
2459719.43,sdssz,IOO,18.38,0.08
2459719.43,sdssi,IOO,18.17,0.06
2459719.43,sdssg,IOO,18.57,0.03
2459720.88,sdssr,KAIT,18.22,0.09
2459720.88,sdssi,KAIT,18.33,0.1
2459721.88,sdssr,KAIT,18.43,0.1
2459721.88,sdssi,KAIT,18.19,0.1
2459722.88,sdssr,KAIT,18.39,0.07
2459722.88,sdssi,KAIT,18.42,0.15
2459723.87,sdssi,KAIT,18.36,0.14
2459723.87,sdssr,KAIT,18.47,0.08
2459737.42,sdssi,IOO,19.23,0.08
2459737.42,sdssg,IOO,20.85,0.21
2459737.42,sdssz,IOO,19.41,0.16
2459737.42,sdssr,IOO,19.59,0.08
2459721.22,uvot::uvw1,UVOT,19.3,0.09
2459721.22,uvot::u,UVOT,18.76,0.1
2459721.22,uvot::b,UVOT,18.12,0.1
2459721.23,uvot::v,UVOT,17.78,0.14
2459721.23,uvot::uvm2,UVOT,19.52,0.07
2459724.24,uvot::uvw1,UVOT,19.41,0.09
2459724.24,uvot::u,UVOT,18.8,0.1
2459724.24,uvot::b,UVOT,18.21,0.1
2459724.24,uvot::v,UVOT,18.01,0.16
2459724.25,uvot::uvm2,UVOT,19.58,0.07
2459727.28,uvot::uvw1,UVOT,19.39,0.1
2459727.28,uvot::u,UVOT,19.04,0.14
2459727.28,uvot::b,UVOT,18.6,0.15
2459727.28,uvot::v,UVOT,18.26,0.22
2459727.28,uvot::uvm2,UVOT,19.67,0.08
2459729.76,uvot::uvw1,UVOT,19.53,0.11
2459729.77,uvot::u,UVOT,19.49,0.16
2459729.77,uvot::b,UVOT,18.41,0.12
2459729.77,uvot::v,UVOT,18.02,0.17
2459729.77,uvot::uvm2,UVOT,19.76,0.14
2459732.88,uvot::uvw1,UVOT,19.53,0.11
2459732.88,uvot::u,UVOT,19.53,0.19
2459732.88,uvot::b,UVOT,18.62,0.16
2459732.89,uvot::v,UVOT,18.41,0.24
2459732.89,uvot::uvm2,UVOT,19.86,0.09
2459719.71,sdssg,SEDM,18.66,0.05
2459727.73,sdssg,SEDM,19.46,0.06
2459730.88,sdssg,SEDM,19.63,0.05
2459734.84,sdssg,SEDM,20.06,0.07
2459719.72,sdssi,SEDM,17.94,0.03
2459727.73,sdssi,SEDM,18.28,0.04
2459730.89,sdssi,SEDM,18.42,0.04
2459734.84,sdssi,SEDM,18.79,0.04
2459718.91,sdssr,SEDM,18.06,0.05
2459719.68,sdssr,SEDM,18.08,0.07
2459719.72,sdssr,SEDM,18.11,0.02
2459727.7,sdssr,SEDM,18.59,0.07
2459727.73,sdssr,SEDM,18.44,0.03
2459730.85,sdssr,SEDM,18.88,0.06
2459730.89,sdssr,SEDM,18.82,0.04
2459734.81,sdssr,SEDM,19.21,0.13
2459734.84,sdssr,SEDM,19.18,0.04
2459741.75,sdssi,SEDM,19.34,0.07
2459741.74,sdssr,SEDM,19.58,0.06
2459746.42,sdssr,IOO,20.39,0.17
2459746.42,sdssg,IOO,21.24,0.43
2459746.42,sdssz,IOO,19.67,0.17
2459746.42,sdssi,IOO,19.81,0.11
2459748.84,sdssg,SEDM,21.1,0.15
2459748.84,sdssi,SEDM,19.61,0.06
2459759.44,sdssi,IOO,20.42,0.12
2459759.43,sdssg,IOO,22.55,0.42
2459759.44,sdssz,IOO,19.96,0.16
2459759.44,sdssg,IOO,22.56,0.43
2459759.44,sdssr,IOO,20.83,0.11
2459775.71,sdssr,SEDM,20.49,0.19
2459785.42,sdssi,IOO,21.0,0.26
2459785.42,sdssz,IOO,20.18,0.26
2459785.42,sdssg,IOO,21.72,0.32
2458219.81,ZTF_r,P48,20.51,0.33
2458284.77,ZTF_g,P48,21.87,0.35
2458899.99,ZTF_r,P48,21.63,0.35
2459323.87,ZTF_r,P48,21.54,0.35
2459386.8,ZTF_g,P48,20.45,0.28
2459672.82,ZTF_g,P48,21.7,0.26
2459675.72,ZTF_r,P48,20.93,0.28
2459675.72,ZTF_r,P48,21.12,0.34
2459675.84,ZTF_r,P48,20.6,0.13
2459675.87,ZTF_g,P48,21.19,0.19
2459675.88,ZTF_g,P48,20.95,0.2
2459676.8,ZTF_g,P48,20.8,0.25
2459676.95,ZTF_r,P48,20.56,0.31
2459676.98,ZTF_r,P48,20.11,0.2
2459677.79,ZTF_i,P48,20.67,0.31
2459677.81,ZTF_g,P48,20.79,0.25
2459677.82,ZTF_g,P48,20.56,0.22
2459677.82,ZTF_g,P48,20.47,0.16
2459677.85,ZTF_g,P48,20.92,0.25
2459677.87,ZTF_r,P48,20.4,0.15
2459677.89,ZTF_r,P48,20.39,0.16
2459677.91,ZTF_r,P48,20.43,0.16
2459678.83,ZTF_g,P48,20.09,0.11
2459678.89,ZTF_r,P48,19.95,0.11
2459678.97,ZTF_r,P48,20.15,0.13
2459678.99,ZTF_g,P48,20.04,0.11
2459679.72,ZTF_r,P48,19.83,0.13
2459679.74,ZTF_r,P48,19.84,0.13
2459679.74,ZTF_r,P48,19.75,0.1
2459679.78,ZTF_g,P48,19.94,0.12
2459679.79,ZTF_g,P48,19.84,0.11
2459679.8,ZTF_g,P48,20.02,0.11
2459679.82,ZTF_g,P48,19.9,0.11
2459679.9,ZTF_r,P48,19.91,0.11
2459680.78,ZTF_i,P48,19.8,0.21
2459680.84,ZTF_r,P48,19.65,0.12
2459680.84,ZTF_r,P48,19.75,0.13
